DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,206
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,159
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,43
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,21
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,40
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,410
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,304
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,47
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,0,994
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,543
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,17
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,30
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,0,225
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,81
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,265
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,107
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,0,740
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,18
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,301
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,295
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,339
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,47
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,67
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,54
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,0,308
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,147
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,403
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,129
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,120
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,0,379
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,18
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,49
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,49
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,27
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,119
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,317
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,249
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,0,61
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,0,111
