DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,0.01282,1.3,3,0.8,0,0,207
Tree,200,0.01282,1.3,3,0.8,0,0,165
Tree,200,0.01282,1.3,3,0.8,0,0,192
Tree,200,0.01282,1.3,3,0.8,0,0,462
Tree,200,0.01282,1.3,2,0.8,0,0,77
Tree,200,0.01282,1.3,3,0.8,0,0,120
Tree,200,0.01282,1.3,3,0.8,0,0,256
Tree,200,0.01282,1.3,3,0.8,0,0,291
Tree,200,0.01282,1.3,3,0.8,0,0,240
Tree,200,0.01282,1.3,3,0.8,0,0,239
Tree,200,0.01282,1.3,3,0.8,0,0,277
Tree,200,0.01282,1.3,3,0.8,0,0,212
Tree,200,0.01282,1.3,2,0.8,0,0,57
Tree,200,0.01282,1.3,2,0.8,0,0,104
Tree,200,0.01282,1.3,3,0.8,0,0,160
Tree,200,0.01282,1.3,3,0.8,0,0,352
Tree,200,0.01282,1.3,3,0.8,0,0,128
Tree,200,0.01282,1.3,3,0.8,0,0,163
Tree,200,0.01282,1.3,3,0.8,0,0,62
Tree,200,0.01282,1.3,3,0.8,0,0,33
Tree,200,0.01282,1.3,3,0.8,0,0,381
Tree,200,0.01282,1.3,3,0.8,0,0,93
Tree,200,0.01282,1.3,3,0.8,0,0,103
Tree,200,0.01282,1.3,1,0.8,0,0,100
Tree,200,0.01282,1.3,3,0.8,0,0,379
Tree,200,0.01282,1.3,3,0.8,0,0,222
Tree,200,0.01282,1.3,0,0.8,0,0,0
Tree,200,0.01282,1.3,3,0.8,0,0,97
Tree,200,0.01282,1.3,3,0.8,0,0,475
Tree,200,0.01282,1.3,3,0.8,0,0,55
Tree,200,0.01282,1.3,3,0.8,0,0,227
Tree,200,0.01282,1.3,3,0.8,0,0,472
Tree,200,0.01282,1.3,3,0.8,0,0,216
Tree,200,0.01282,1.3,3,0.8,0,0,174
Tree,200,0.01282,1.3,3,0.8,0,0,415
Tree,200,0.01282,1.3,3,0.8,0,0,211
Tree,200,0.01282,1.3,3,0.8,0,0,290
Tree,200,0.01282,1.3,3,0.8,0,0,100
Tree,200,0.01282,1.3,3,0.8,0,0,172
Tree,200,0.01282,1.3,3,0.8,0,0,118
Tree,200,0.01282,1.3,3,0.8,0,0,279
Tree,200,0.01282,1.3,3,0.8,0,0,158
Tree,200,0.01282,1.3,3,0.8,0,0,38
Tree,200,0.01282,1.3,3,0.8,0,0,260
Tree,200,0.01282,1.3,3,0.8,0,0,42
Tree,200,0.01282,1.3,3,0.8,0,0,123
Tree,200,0.01282,1.3,3,0.8,0,0,218
Tree,200,0.01282,1.3,3,0.8,0,0,151
Tree,200,0.01282,1.3,3,0.8,0,0,45
Tree,200,0.01282,1.3,3,0.8,0,0,304
Tree,200,0.01282,1.3,3,0.8,0,0,284
Tree,200,0.01282,1.3,3,0.8,0,0,520
Tree,200,0.01282,1.3,3,0.8,0,0,233
Tree,200,0.01282,1.3,2,0.8,0,0,131
Tree,200,0.01282,1.3,3,0.8,0,0,31
Tree,200,0.01282,1.3,3,0.8,0,0,456
Tree,200,0.01282,1.3,2,0.8,0,0,156
Tree,200,0.01282,1.3,3,0.8,0,0,457
Tree,200,0.01282,1.3,3,0.8,0,0,98
Tree,200,0.01282,1.3,3,0.8,0,0,59
Tree,200,0.01282,1.3,3,0.8,0,0,4
Tree,200,0.01282,1.3,3,0.8,0,0,207
Tree,200,0.01282,1.3,3,0.8,0,0,22
Tree,200,0.01282,1.3,3,0.8,0,0,266
Tree,200,0.01282,1.3,3,0.8,0,0,11
Tree,200,0.01282,1.3,3,0.8,0,0,98
Tree,200,0.01282,1.3,3,0.8,0,0,16
Tree,200,0.01282,1.3,3,0.8,0,0,72
Tree,200,0.01282,1.3,3,0.8,0,0,511
Tree,200,0.01282,1.3,2,0.8,0,0,2
Tree,200,0.01282,1.3,2,0.8,0,0,2
Tree,200,0.01282,1.3,3,0.8,0,0,240
Tree,200,0.01282,1.3,2,0.8,0,0,14
Tree,200,0.01282,1.3,3,0.8,0,0,349
Tree,200,0.01282,1.3,3,0.8,0,0,174
Tree,200,0.01282,1.3,3,0.8,0,0,61
Tree,200,0.01282,1.3,3,0.8,0,0,144
Tree,200,0.01282,1.3,2,0.8,0,0,160
Tree,200,0.01282,1.3,3,0.8,0,0,32
Tree,200,0.01282,1.3,3,0.8,0,0,202
Tree,200,0.01282,1.3,3,0.8,0,0,185
Tree,200,0.01282,1.3,3,0.8,0,0,114
Tree,200,0.01282,1.3,3,0.8,0,0,26
Tree,200,0.01282,1.3,3,0.8,0,0,493
Tree,200,0.01282,1.3,3,0.8,0,0,29
Tree,200,0.01282,1.3,2,0.8,0,0,286
Tree,200,0.01282,1.3,2,0.8,0,0,52
Tree,200,0.01282,1.3,2,0.8,0,0,131
Tree,200,0.01282,1.3,3,0.8,0,0,26
Tree,200,0.01282,1.3,3,0.8,0,0,466
Tree,200,0.01282,1.3,3,0.8,0,0,153
Tree,200,0.01282,1.3,3,0.8,0,0,28
Tree,200,0.01282,1.3,3,0.8,0,0,23
Tree,200,0.01282,1.3,3,0.8,0,0,231
Tree,200,0.01282,1.3,3,0.8,0,0,141
Tree,200,0.01282,1.3,2,0.8,0,0,6
Tree,200,0.01282,1.3,3,0.8,0,0,82
Tree,200,0.01282,1.3,3,0.8,0,0,273
Tree,200,0.01282,1.3,3,0.8,0,0,267
Tree,200,0.01282,1.3,3,0.8,0,0,279
Tree,200,0.01282,1.3,3,0.8,0,0,219
Tree,200,0.01282,1.3,1,0.8,0,0,70
Tree,200,0.01282,1.3,3,0.8,0,0,305
Tree,200,0.01282,1.3,2,0.8,0,0,77
Tree,200,0.01282,1.3,3,0.8,0,0,359
Tree,200,0.01282,1.3,3,0.8,0,0,57
Tree,200,0.01282,1.3,3,0.8,0,0,328
Tree,200,0.01282,1.3,3,0.8,0,0,243
Tree,200,0.01282,1.3,3,0.8,0,0,335
Tree,200,0.01282,1.3,3,0.8,0,0,77
Tree,200,0.01282,1.3,3,0.8,0,0,186
Tree,200,0.01282,1.3,2,0.8,0,0,53
