DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,0.03015,10.0,1,0.8,0.1,0,1
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,21
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,35
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,26
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,139
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,175
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,308
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,212
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,94
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,272
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,7
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,150
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,119
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,318
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,235
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,336
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,255
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,16
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,282
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,85
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,449
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,205
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,332
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,37
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,290
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,170
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,278
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,237
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,269
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,108
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,230
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,296
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,44
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,27
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,615
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,110
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,201
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,310
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,929
WattsStrogatz,200,0.03015,10.0,1,0.8,0.1,0,36
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,75
WattsStrogatz,200,0.03015,10.0,1,0.8,0.1,0,57
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,95
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,140
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,170
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,158
WattsStrogatz,200,0.03015,10.0,1,0.8,0.1,0,7
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,90
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,6
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,215
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,136
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,224
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,292
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,39
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,135
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,107
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,192
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,269
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,402
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,1211
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,256
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,245
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,407
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,173
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,197
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,133
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,197
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,179
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,54
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,160
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,1179
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,177
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,74
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,274
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,38
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,200
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,482
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,128
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,125
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,351
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,2
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,367
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,46
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,125
WattsStrogatz,200,0.03015,10.0,1,0.8,0.1,0,59
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,316
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,247
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,405
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,268
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,31
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,4
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,45
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,363
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,21
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,404
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,259
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,174
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,57
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,82
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,200
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,473
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,659
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,209
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,653
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,116
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,179
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,83
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,335
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,245
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,170
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,287
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,281
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,115
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,216
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,10
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,46
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,173
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,116
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,200
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,389
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,147
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,164
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,281
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,72
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,11
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,238
