DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,31
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,115
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,61
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,63
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,47
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,177
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,14
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,14
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,55
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,297
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,278
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,103
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,19
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,134
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,109
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,54
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,43
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,21
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,81
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,7
BarabasiAlbert,200,0.02985,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,92
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,301
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,65
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,43
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,36
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,65
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,628
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,203
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,23
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,113
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,60
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,28
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,22
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,98
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,4
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,1,1
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,29
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,132
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,57
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,27
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,53
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,133
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,36
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,51
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,114
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,96
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,153
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,600
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,102
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,59
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,5
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,56
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,97
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,3
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,64
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,153
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,67
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,402
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,4
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,80
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,2
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,158
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,30
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,11
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,189
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,73
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,169
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,167
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,106
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,1,1
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,492
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,237
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,3
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,181
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,85
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,146
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,22
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,16
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,355
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,131
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,31
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,125
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,725
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,346
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,52
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,30
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,120
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,12
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,63
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,229
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,142
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,308
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,34
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,79
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,220
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,31
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,1,1
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,288
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,103
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,323
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,136
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,10
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,87
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,70
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,151
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,56
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,109
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,176
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,119
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,110
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,1,127
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,26
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,1,167
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,1,232
