DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
Tree,200,0.01282,1.8,2,0.8,0,1,145
Tree,200,0.01282,1.8,3,0.8,0,1,277
Tree,200,0.01282,1.8,3,0.8,0,1,199
Tree,200,0.01282,1.8,2,0.8,0,1,70
Tree,200,0.01282,1.8,3,0.8,0,1,161
Tree,200,0.01282,1.8,3,0.8,0,1,211
Tree,200,0.01282,1.8,2,0.8,0,1,2
Tree,200,0.01282,1.8,3,0.8,0,1,330
Tree,200,0.01282,1.8,3,0.8,0,1,16
Tree,200,0.01282,1.8,3,0.8,0,1,27
Tree,200,0.01282,1.8,3,0.8,0,1,281
Tree,200,0.01282,1.8,3,0.8,0,1,158
Tree,200,0.01282,1.8,3,0.8,0,1,333
Tree,200,0.01282,1.8,2,0.8,0,1,228
Tree,200,0.01282,1.8,3,0.8,0,1,170
Tree,200,0.01282,1.8,3,0.8,0,1,53
Tree,200,0.01282,1.8,3,0.8,0,1,151
Tree,200,0.01282,1.8,2,0.8,0,1,2
Tree,200,0.01282,1.8,3,0.8,0,1,159
Tree,200,0.01282,1.8,3,0.8,0,1,204
Tree,200,0.01282,1.8,2,0.8,0,1,70
Tree,200,0.01282,1.8,3,0.8,0,1,218
Tree,200,0.01282,1.8,1,0.8,0,1,1
Tree,200,0.01282,1.8,3,0.8,0,1,264
Tree,200,0.01282,1.8,2,0.8,0,1,247
Tree,200,0.01282,1.8,3,0.8,0,1,53
Tree,200,0.01282,1.8,3,0.8,0,1,99
Tree,200,0.01282,1.8,3,0.8,0,1,29
Tree,200,0.01282,1.8,2,0.8,0,1,138
Tree,200,0.01282,1.8,3,0.8,0,1,70
Tree,200,0.01282,1.8,3,0.8,0,1,99
Tree,200,0.01282,1.8,3,0.8,0,1,138
Tree,200,0.01282,1.8,3,0.8,0,1,404
Tree,200,0.01282,1.8,3,0.8,0,1,342
Tree,200,0.01282,1.8,3,0.8,0,1,5
Tree,200,0.01282,1.8,3,0.8,0,1,490
Tree,200,0.01282,1.8,2,0.8,0,1,58
Tree,200,0.01282,1.8,3,0.8,0,1,104
Tree,200,0.01282,1.8,3,0.8,0,1,157
Tree,200,0.01282,1.8,2,0.8,0,1,39
Tree,200,0.01282,1.8,2,0.8,0,1,61
Tree,200,0.01282,1.8,2,0.8,0,1,47
Tree,200,0.01282,1.8,3,0.8,0,1,106
Tree,200,0.01282,1.8,3,0.8,0,1,41
Tree,200,0.01282,1.8,0,0.8,0,1,0
Tree,200,0.01282,1.8,3,0.8,0,1,387
Tree,200,0.01282,1.8,3,0.8,0,1,22
Tree,200,0.01282,1.8,3,0.8,0,1,128
Tree,200,0.01282,1.8,3,0.8,0,1,206
Tree,200,0.01282,1.8,3,0.8,0,1,261
Tree,200,0.01282,1.8,3,0.8,0,1,184
Tree,200,0.01282,1.8,3,0.8,0,1,91
Tree,200,0.01282,1.8,3,0.8,0,1,196
Tree,200,0.01282,1.8,2,0.8,0,1,2
Tree,200,0.01282,1.8,3,0.8,0,1,47
Tree,200,0.01282,1.8,3,0.8,0,1,626
Tree,200,0.01282,1.8,3,0.8,0,1,17
Tree,200,0.01282,1.8,3,0.8,0,1,46
Tree,200,0.01282,1.8,3,0.8,0,1,134
