DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,23
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,56
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,152
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,260
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,77
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,47
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,21
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,548
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,80
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,172
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,148
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,25
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,139
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,96
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,22
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,171
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,2
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,404
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,110
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,25
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,18
WattsStrogatz,200,0.03015,10.0,5,0.8,0.1,1,267
WattsStrogatz,200,0.03015,10.0,5,0.8,0.1,1,201
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,188
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,210
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,238
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,174
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,28
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,3
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,2
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,77
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,371
WattsStrogatz,200,0.03015,10.0,5,0.8,0.1,1,86
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,59
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,17
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,206
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,170
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,171
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,138
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,62
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,26
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,134
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,278
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,156
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,86
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,45
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,13
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,53
WattsStrogatz,200,0.03015,10.0,0,0.8,0.1,1,0
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,229
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,13
WattsStrogatz,200,0.03015,10.0,1,0.8,0.1,1,32
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,30
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,124
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,194
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,77
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,44
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,168
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,64
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,48
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,110
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,98
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,45
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,251
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,110
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,31
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,18
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,21
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,204
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,254
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,70
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,9
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,17
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,15
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,6
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,100
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,51
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,68
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,34
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,18
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,91
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,54
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,280
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,33
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,35
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,7
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,201
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,144
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,68
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,10
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,226
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,198
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,152
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,124
WattsStrogatz,200,0.03015,10.0,5,0.8,0.1,1,121
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,198
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,30
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,67
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,92
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,35
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,134
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,43
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,218
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,1611
WattsStrogatz,200,0.03015,10.0,1,0.8,0.1,1,1
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,8
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,71
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,1,4
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,170
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,192
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,5
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,101
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,361
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,94
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,50
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,116
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,1,386
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,1,48
