DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,145
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,230
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,201
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,45
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,65
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,55
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,33
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,125
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,210
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,257
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,114
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,178
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,122
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,122
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,106
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,238
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,99
BarabasiAlbert,200,0.09774,1.6,3,0.8,0,1,135
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,106
BarabasiAlbert,200,0.09774,1.6,3,0.8,0,1,198
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,36
BarabasiAlbert,200,0.09774,1.6,3,0.8,0,1,174
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,93
BarabasiAlbert,200,0.09774,1.6,3,0.8,0,1,159
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,38
BarabasiAlbert,200,0.09774,1.6,3,0.8,0,1,232
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,57
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,40
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,175
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,192
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,167
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,102
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,189
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,63
BarabasiAlbert,200,0.09774,1.6,3,0.8,0,1,186
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,33
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,218
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,35
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,105
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,167
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,189
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,230
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,76
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,162
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,162
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,99
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,77
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,63
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,40
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,61
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,158
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,60
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,39
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,13
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,16
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,49
BarabasiAlbert,200,0.09774,1.6,3,0.8,0,1,180
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,52
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,40
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,142
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,167
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,208
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,17
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,95
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,123
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,81
BarabasiAlbert,200,0.09774,1.6,3,0.8,0,1,138
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,8
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,211
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,27
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,176
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,241
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,217
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,45
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,186
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,151
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,22
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,78
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,189
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,64
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,201
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,165
BarabasiAlbert,200,0.09774,1.6,1,0.8,0,1,145
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,39
BarabasiAlbert,200,0.09774,1.6,2,0.8,0,1,13
