DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
BarabasiAlbert,0.01994975,1.1,3,0.8,0,30
BarabasiAlbert,0.01994975,1.1,3,0.8,0,183
BarabasiAlbert,0.01994975,1.1,3,0.8,0,246
BarabasiAlbert,0.01994975,1.1,3,0.8,0,38
BarabasiAlbert,0.01994975,1.1,3,0.8,0,68
BarabasiAlbert,0.01994975,1.1,3,0.8,0,247
BarabasiAlbert,0.01994975,1.1,3,0.8,0,214
BarabasiAlbert,0.01994975,1.1,3,0.8,0,167
BarabasiAlbert,0.01994975,1.1,3,0.8,0,128
BarabasiAlbert,0.01994975,1.1,3,0.8,0,144
BarabasiAlbert,0.01994975,1.1,3,0.8,0,329
BarabasiAlbert,0.01994975,1.1,3,0.8,0,173
BarabasiAlbert,0.01994975,1.1,3,0.8,0,90
BarabasiAlbert,0.01994975,1.1,3,0.8,0,19
BarabasiAlbert,0.01994975,1.1,3,0.8,0,35
BarabasiAlbert,0.01994975,1.1,3,0.8,0,24
BarabasiAlbert,0.01994975,1.1,3,0.8,0,220
BarabasiAlbert,0.01994975,1.1,3,0.8,0,139
BarabasiAlbert,0.01994975,1.1,3,0.8,0,179
BarabasiAlbert,0.01994975,1.1,3,0.8,0,60
BarabasiAlbert,0.01994975,1.1,3,0.8,0,240
BarabasiAlbert,0.01994975,1.1,3,0.8,0,99
BarabasiAlbert,0.01994975,1.1,3,0.8,0,30
BarabasiAlbert,0.01994975,1.1,3,0.8,0,56
BarabasiAlbert,0.01994975,1.1,3,0.8,0,104
BarabasiAlbert,0.01994975,1.1,3,0.8,0,13
BarabasiAlbert,0.01994975,1.1,3,0.8,0,92
BarabasiAlbert,0.01994975,1.1,3,0.8,0,58
BarabasiAlbert,0.01994975,1.1,3,0.8,0,131
BarabasiAlbert,0.01994975,1.1,3,0.8,0,190
BarabasiAlbert,0.01994975,1.1,3,0.8,0,65
BarabasiAlbert,0.01994975,1.1,3,0.8,0,165
BarabasiAlbert,0.01994975,1.1,3,0.8,0,28
BarabasiAlbert,0.01994975,1.1,3,0.8,0,114
BarabasiAlbert,0.01994975,1.1,3,0.8,0,297
BarabasiAlbert,0.01994975,1.1,3,0.8,0,88
BarabasiAlbert,0.01994975,1.1,3,0.8,0,325
BarabasiAlbert,0.01994975,1.1,3,0.8,0,168
BarabasiAlbert,0.01994975,1.1,3,0.8,0,121
BarabasiAlbert,0.01994975,1.1,3,0.8,0,89
BarabasiAlbert,0.01994975,1.1,3,0.8,0,4
BarabasiAlbert,0.01994975,1.1,3,0.8,0,195
BarabasiAlbert,0.01994975,1.1,3,0.8,0,93
BarabasiAlbert,0.01994975,1.1,3,0.8,0,232
BarabasiAlbert,0.01994975,1.1,3,0.8,0,163
BarabasiAlbert,0.01994975,1.1,3,0.8,0,208
BarabasiAlbert,0.01994975,1.1,3,0.8,0,3
BarabasiAlbert,0.01994975,1.1,3,0.8,0,31
BarabasiAlbert,0.01994975,1.1,3,0.8,0,195
BarabasiAlbert,0.01994975,1.1,3,0.8,0,42
BarabasiAlbert,0.01994975,1.1,3,0.8,0,206
BarabasiAlbert,0.01994975,1.1,3,0.8,0,158
BarabasiAlbert,0.01994975,1.1,3,0.8,0,142
BarabasiAlbert,0.01994975,1.1,3,0.8,0,180
BarabasiAlbert,0.01994975,1.1,3,0.8,0,247
BarabasiAlbert,0.01994975,1.1,3,0.8,0,244
BarabasiAlbert,0.01994975,1.1,3,0.8,0,38
BarabasiAlbert,0.01994975,1.1,3,0.8,0,318
BarabasiAlbert,0.01994975,1.1,3,0.8,0,111
BarabasiAlbert,0.01994975,1.1,3,0.8,0,4
BarabasiAlbert,0.01994975,1.1,3,0.8,0,159
BarabasiAlbert,0.01994975,1.1,3,0.8,0,138
BarabasiAlbert,0.01994975,1.1,3,0.8,0,59
BarabasiAlbert,0.01994975,1.1,3,0.8,0,206
BarabasiAlbert,0.01994975,1.1,3,0.8,0,42
BarabasiAlbert,0.01994975,1.1,3,0.8,0,154
BarabasiAlbert,0.01994975,1.1,3,0.8,0,88
BarabasiAlbert,0.01994975,1.1,3,0.8,0,217
BarabasiAlbert,0.01994975,1.1,3,0.8,0,120
BarabasiAlbert,0.01994975,1.1,3,0.8,0,63
BarabasiAlbert,0.01994975,1.1,3,0.8,0,248
BarabasiAlbert,0.01994975,1.1,3,0.8,0,135
