DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,46
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,38
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,343
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,145
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,157
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,17
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,8
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,105
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,47
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,88
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,72
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,263
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,29
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,40
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,278
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,25
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,1
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,79
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,153
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,86
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,2
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,177
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,50
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,102
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,9
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,57
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,47
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,146
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,49
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,4
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,256
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,17
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,60
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,20
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,92
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,75
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,132
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,140
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,5
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,19
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,15
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,24
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,34
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,39
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,24
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,38
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,48
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,16
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,17
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,51
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,124
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,40
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,11
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,84
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,117
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,49
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,363
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,14
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,39
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,26
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,16
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,83
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,224
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,20
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,56
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,13
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,7
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,125
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,10
