DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,141
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,17
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,62
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,127
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,425
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,81
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,43
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,89
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,119
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,91
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,255
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,220
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,102
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,128
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,2,29
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,172
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,181
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,152
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,7
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,408
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,51
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,137
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,57
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,10
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,169
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,297
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,301
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,346
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,446
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,190
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,320
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,147
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,104
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,146
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,1968
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,88
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,17
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,87
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,156
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,30
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,174
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,309
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,185
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,123
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,276
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,81
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,35
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,193
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,31
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,831
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,7
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,47
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,2,13
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,147
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,46
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,185
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,29
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,117
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,7
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,70
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,414
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,7
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,361
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,121
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,10
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,119
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,80
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,12
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,381
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,9
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,103
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,178
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,31
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,212
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,114
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,11
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,156
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,7
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,139
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,136
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,280
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,181
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,43
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,46
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,56
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,4
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,357
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,263
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,272
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,337
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,467
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,11
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,44
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,225
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,22
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,96
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,101
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,462
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,2,1
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,508
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,115
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,295
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,223
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,37
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,250
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,248
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,18
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,60
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,135
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,86
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,2,81
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,63
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,360
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,320
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,206
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,71
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,21
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,98
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,255
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,50
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,13
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,51
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,300
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,179
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,298
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,2,1
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,165
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,96
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,37
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,170
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,25
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,122
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,207
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,290
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,31
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,274
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,96
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,54
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,47
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,385
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,21
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,53
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,603
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,42
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,44
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,108
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,4
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,128
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,103
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,191
BarabasiAlbert,200,0.02985,10.0,1,0.8,0.1,2,28
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,14
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,147
BarabasiAlbert,200,0.02985,10.0,4,0.8,0.1,2,68
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,144
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,113
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,119
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,241
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,55
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,250
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,116
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,65
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,8
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,113
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,10
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,423
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,2
BarabasiAlbert,200,0.02985,10.0,2,0.8,0.1,2,121
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,222
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,146
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,35
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,68
BarabasiAlbert,200,0.02985,10.0,3,0.8,0.1,2,5
