DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
BarabasiAlbert,0.03970,1.7,3,0.8,0,79
BarabasiAlbert,0.03970,1.7,3,0.8,0,259
BarabasiAlbert,0.03970,1.7,3,0.8,0,162
BarabasiAlbert,0.03970,1.7,3,0.8,0,135
BarabasiAlbert,0.03970,1.7,3,0.8,0,4
BarabasiAlbert,0.03970,1.7,3,0.8,0,17
BarabasiAlbert,0.03970,1.7,3,0.8,0,65
BarabasiAlbert,0.03970,1.7,3,0.8,0,68
BarabasiAlbert,0.03970,1.7,3,0.8,0,41
BarabasiAlbert,0.03970,1.7,3,0.8,0,163
BarabasiAlbert,0.03970,1.7,3,0.8,0,41
BarabasiAlbert,0.03970,1.7,3,0.8,0,48
BarabasiAlbert,0.03970,1.7,3,0.8,0,129
BarabasiAlbert,0.03970,1.7,3,0.8,0,91
BarabasiAlbert,0.03970,1.7,3,0.8,0,175
BarabasiAlbert,0.03970,1.7,3,0.8,0,82
BarabasiAlbert,0.03970,1.7,3,0.8,0,46
BarabasiAlbert,0.03970,1.7,3,0.8,0,75
BarabasiAlbert,0.03970,1.7,3,0.8,0,65
BarabasiAlbert,0.03970,1.7,3,0.8,0,168
BarabasiAlbert,0.03970,1.7,3,0.8,0,146
BarabasiAlbert,0.03970,1.7,3,0.8,0,24
BarabasiAlbert,0.03970,1.7,3,0.8,0,107
BarabasiAlbert,0.03970,1.7,3,0.8,0,173
BarabasiAlbert,0.03970,1.7,3,0.8,0,28
BarabasiAlbert,0.03970,1.7,3,0.8,0,59
BarabasiAlbert,0.03970,1.7,3,0.8,0,62
BarabasiAlbert,0.03970,1.7,3,0.8,0,110
BarabasiAlbert,0.03970,1.7,3,0.8,0,45
BarabasiAlbert,0.03970,1.7,3,0.8,0,135
BarabasiAlbert,0.03970,1.7,3,0.8,0,23
BarabasiAlbert,0.03970,1.7,3,0.8,0,45
BarabasiAlbert,0.03970,1.7,3,0.8,0,95
BarabasiAlbert,0.03970,1.7,3,0.8,0,4
BarabasiAlbert,0.03970,1.7,3,0.8,0,46
BarabasiAlbert,0.03970,1.7,3,0.8,0,61
BarabasiAlbert,0.03970,1.7,3,0.8,0,252
BarabasiAlbert,0.03970,1.7,3,0.8,0,19
BarabasiAlbert,0.03970,1.7,3,0.8,0,30
BarabasiAlbert,0.03970,1.7,3,0.8,0,61
BarabasiAlbert,0.03970,1.7,3,0.8,0,157
BarabasiAlbert,0.03970,1.7,3,0.8,0,154
BarabasiAlbert,0.03970,1.7,3,0.8,0,21
BarabasiAlbert,0.03970,1.7,3,0.8,0,84
BarabasiAlbert,0.03970,1.7,3,0.8,0,129
BarabasiAlbert,0.03970,1.7,3,0.8,0,14
BarabasiAlbert,0.03970,1.7,3,0.8,0,169
BarabasiAlbert,0.03970,1.7,3,0.8,0,161
BarabasiAlbert,0.03970,1.7,3,0.8,0,337
BarabasiAlbert,0.03970,1.7,3,0.8,0,37
BarabasiAlbert,0.03970,1.7,3,0.8,0,179
BarabasiAlbert,0.03970,1.7,3,0.8,0,80
BarabasiAlbert,0.03970,1.7,3,0.8,0,55
BarabasiAlbert,0.03970,1.7,3,0.8,0,20
BarabasiAlbert,0.03970,1.7,3,0.8,0,333
BarabasiAlbert,0.03970,1.7,3,0.8,0,39
BarabasiAlbert,0.03970,1.7,3,0.8,0,46
BarabasiAlbert,0.03970,1.7,3,0.8,0,10
BarabasiAlbert,0.03970,1.7,3,0.8,0,12
BarabasiAlbert,0.03970,1.7,3,0.8,0,58
BarabasiAlbert,0.03970,1.7,3,0.8,0,68
BarabasiAlbert,0.03970,1.7,3,0.8,0,156
BarabasiAlbert,0.03970,1.7,3,0.8,0,33
BarabasiAlbert,0.03970,1.7,3,0.8,0,85
BarabasiAlbert,0.03970,1.7,3,0.8,0,42
