DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,21
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,4
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,4
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,31
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,54
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,38
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,10
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,31
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,21
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,36
BarabasiAlbert,200,0.03970,10.0,1.8,0.8,0.1,5,4
BarabasiAlbert,200,0.03970,10.0,2.2,0.8,0.1,5,12
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,38
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,13
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,19
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,13
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,4
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,34
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,3
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,2
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,3
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,24
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,45
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,18
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,16
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,27
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,5
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,100
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,9
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,62
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,0
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,13
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,7
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,6
BarabasiAlbert,200,0.03970,10.0,2.2,0.8,0.1,5,13
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,12
BarabasiAlbert,200,0.03970,10.0,1.6,0.8,0.1,5,9
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,7
BarabasiAlbert,200,0.03970,10.0,2,0.8,0.1,5,1
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,44
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,59
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,1
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,5
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,11
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,0
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,8
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,2
BarabasiAlbert,200,0.03970,10.0,2,0.8,0.1,5,31
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,8
BarabasiAlbert,200,0.03970,10.0,2.2,0.8,0.1,5,5
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,23
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,81
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,11
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,10
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,6
BarabasiAlbert,200,0.03970,10.0,3.4,0.8,0.1,5,6
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,13
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,11
BarabasiAlbert,200,0.03970,10.0,2,0.8,0.1,5,1
BarabasiAlbert,200,0.03970,10.0,2.2,0.8,0.1,5,3
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,18
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,33
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,4
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,9
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,1
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,7
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,11
BarabasiAlbert,200,0.03970,10.0,2.2,0.8,0.1,5,19
BarabasiAlbert,200,0.03970,10.0,2,0.8,0.1,5,0
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,7
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,17
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,18
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,10
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,7
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,19
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,4
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,12
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,14
BarabasiAlbert,200,0.03970,10.0,2.4,0.8,0.1,5,2
BarabasiAlbert,200,0.03970,10.0,3,0.8,0.1,5,40
BarabasiAlbert,200,0.03970,10.0,2,0.8,0.1,5,7
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,35
BarabasiAlbert,200,0.03970,10.0,2.6,0.8,0.1,5,11
BarabasiAlbert,200,0.03970,10.0,2.8,0.8,0.1,5,69
BarabasiAlbert,200,0.03970,10.0,1.8,0.8,0.1,5,45
BarabasiAlbert,200,0.03970,10.0,3.2,0.8,0.1,5,12
