DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,330
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,23
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,33
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,82
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,32
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,9
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,346
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,183
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,75
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,42
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,7
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,8
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,83
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,112
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,36
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,242
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,275
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,48
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,11
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,58
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,186
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,174
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,48
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,99
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,207
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,44
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,372
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,119
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,166
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,31
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,40
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,30
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,46
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,146
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,15
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,18
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,14
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,329
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,5
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,62
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,32
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,123
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,64
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,30
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,202
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,43
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,175
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,19
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,118
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,19
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,2
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,44
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,10
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,42
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,43
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,88
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,2
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,212
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,67
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,18
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,43
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,39
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,4
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,4
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,103
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,52
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,26
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,97
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,254
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,99
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,50
BarabasiAlbert,200,0.01000,1.0,2,0.8,0,1,39
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,49
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,237
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,12
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,66
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,62
BarabasiAlbert,200,0.01000,1.0,1,0.8,0,1,23
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,161
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,32
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,48
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,27
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,96
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,21
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,26
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,101
BarabasiAlbert,200,0.01000,1.0,2,0.8,0,1,7
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,85
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,132
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,66
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,124
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,33
BarabasiAlbert,200,0.01000,1.0,4,0.8,0,1,21
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,28
BarabasiAlbert,200,0.01000,1.0,3,0.8,0,1,5
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,329
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,29
BarabasiAlbert,200,0.01000,1.0,-1,0.8,0,1,443
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,174
BarabasiAlbert,200,0.01000,1.0,5,0.8,0,1,62
