DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,7
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,178
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,131
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,174
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,62
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,254
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,59
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,225
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,40
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,282
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,48
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,85
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,17
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,64
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,74
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,98
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,132
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,24
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,75
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,31
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,46
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,26
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,9
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,213
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,215
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,115
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,62
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,18
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,27
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,4
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,256
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,44
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,58
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,31
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,3
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,228
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,136
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,41
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,283
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,42
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,12
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,237
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,132
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,227
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,348
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,277
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,276
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,145
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,148
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,71
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,235
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,1
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,18
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,129
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,5
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,170
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,81
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,33
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,175
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,23
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,67
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,153
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,3
BarabasiAlbert,200,0.01000,0.8,3,0.8,0,5,37
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,809
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,229
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,85
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,76
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,53
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,44
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,229
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,10
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,123
BarabasiAlbert,200,0.01000,0.8,4,0.8,0,5,54
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,81
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,248
BarabasiAlbert,200,0.01000,0.8,5,0.8,0,5,20
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,104
BarabasiAlbert,200,0.01000,0.8,-1,0.8,0,5,161
