DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
Tree,200,0.01282,1.5,3,0.8,0,5,119
Tree,200,0.01282,1.5,2,0.8,0,5,171
Tree,200,0.01282,1.5,3,0.8,0,5,42
Tree,200,0.01282,1.5,3,0.8,0,5,120
Tree,200,0.01282,1.5,2,0.8,0,5,71
Tree,200,0.01282,1.5,3,0.8,0,5,136
Tree,200,0.01282,1.5,3,0.8,0,5,222
Tree,200,0.01282,1.5,3,0.8,0,5,123
Tree,200,0.01282,1.5,3,0.8,0,5,220
Tree,200,0.01282,1.5,3,0.8,0,5,336
Tree,200,0.01282,1.5,3,0.8,0,5,99
Tree,200,0.01282,1.5,3,0.8,0,5,191
Tree,200,0.01282,1.5,2,0.8,0,5,91
Tree,200,0.01282,1.5,3,0.8,0,5,234
Tree,200,0.01282,1.5,3,0.8,0,5,268
Tree,200,0.01282,1.5,2,0.8,0,5,120
Tree,200,0.01282,1.5,3,0.8,0,5,124
Tree,200,0.01282,1.5,3,0.8,0,5,141
Tree,200,0.01282,1.5,3,0.8,0,5,28
Tree,200,0.01282,1.5,3,0.8,0,5,198
Tree,200,0.01282,1.5,2,0.8,0,5,2
Tree,200,0.01282,1.5,3,0.8,0,5,51
Tree,200,0.01282,1.5,3,0.8,0,5,58
Tree,200,0.01282,1.5,3,0.8,0,5,212
Tree,200,0.01282,1.5,3,0.8,0,5,40
Tree,200,0.01282,1.5,0,0.8,0,5,0
Tree,200,0.01282,1.5,3,0.8,0,5,29
Tree,200,0.01282,1.5,3,0.8,0,5,685
Tree,200,0.01282,1.5,2,0.8,0,5,102
Tree,200,0.01282,1.5,3,0.8,0,5,188
Tree,200,0.01282,1.5,3,0.8,0,5,314
Tree,200,0.01282,1.5,3,0.8,0,5,158
Tree,200,0.01282,1.5,3,0.8,0,5,325
Tree,200,0.01282,1.5,3,0.8,0,5,73
Tree,200,0.01282,1.5,3,0.8,0,5,95
Tree,200,0.01282,1.5,1,0.8,0,5,126
Tree,200,0.01282,1.5,3,0.8,0,5,329
Tree,200,0.01282,1.5,3,0.8,0,5,311
Tree,200,0.01282,1.5,3,0.8,0,5,354
Tree,200,0.01282,1.5,3,0.8,0,5,329
Tree,200,0.01282,1.5,3,0.8,0,5,226
Tree,200,0.01282,1.5,2,0.8,0,5,53
Tree,200,0.01282,1.5,3,0.8,0,5,143
Tree,200,0.01282,1.5,3,0.8,0,5,266
