DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,0.01995,10.0,0,0.8,0.1,0,0
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,131
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,108
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,54
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,465
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,263
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,378
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,54
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,57
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,517
BarabasiAlbert,200,0.01995,10.0,5,0.8,0.1,0,2197
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,84
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,637
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,337
BarabasiAlbert,200,0.01995,10.0,5,0.8,0.1,0,329
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,225
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,1120
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,57
BarabasiAlbert,200,0.01995,10.0,5,0.8,0.1,0,1745
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,492
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,84
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,664
BarabasiAlbert,200,0.01995,10.0,5,0.8,0.1,0,1687
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,22
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,723
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,10
BarabasiAlbert,200,0.01995,10.0,2,0.8,0.1,0,5
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,273
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,17
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,701
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,135
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,58
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,399
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,80
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,182
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,776
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,353
BarabasiAlbert,200,0.01995,10.0,5,0.8,0.1,0,1120
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,233
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,152
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,53
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,48
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,38
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,302
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,358
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,347
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,280
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,410
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,350
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,306
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,689
BarabasiAlbert,200,0.01995,10.0,2,0.8,0.1,0,92
BarabasiAlbert,200,0.01995,10.0,1,0.8,0.1,0,25
BarabasiAlbert,200,0.01995,10.0,2,0.8,0.1,0,130
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,350
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,50
BarabasiAlbert,200,0.01995,10.0,5,0.8,0.1,0,454
BarabasiAlbert,200,0.01995,10.0,1,0.8,0.1,0,1
BarabasiAlbert,200,0.01995,10.0,1,0.8,0.1,0,9
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,214
BarabasiAlbert,200,0.01995,10.0,1,0.8,0.1,0,78
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,903
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,349
BarabasiAlbert,200,0.01995,10.0,2,0.8,0.1,0,285
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,194
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,66
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,580
BarabasiAlbert,200,0.01995,10.0,4,0.8,0.1,0,64
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,448
BarabasiAlbert,200,0.01995,10.0,3,0.8,0.1,0,402
