DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,0.01282,-3.0,3,0.8,0,0,268
Tree,200,0.01282,-3.0,3,0.8,0,0,28
Tree,200,0.01282,-3.0,2,0.8,0,0,122
Tree,200,0.01282,-3.0,3,0.8,0,0,283
Tree,200,0.01282,-3.0,1,0.8,0,0,33
Tree,200,0.01282,-3.0,1,0.8,0,0,37
Tree,200,0.01282,-3.0,3,0.8,0,0,23
Tree,200,0.01282,-3.0,3,0.8,0,0,130
Tree,200,0.01282,-3.0,3,0.8,0,0,100
Tree,200,0.01282,-3.0,3,0.8,0,0,118
Tree,200,0.01282,-3.0,3,0.8,0,0,18
Tree,200,0.01282,-3.0,3,0.8,0,0,51
Tree,200,0.01282,-3.0,1,0.8,0,0,71
Tree,200,0.01282,-3.0,3,0.8,0,0,79
Tree,200,0.01282,-3.0,3,0.8,0,0,64
Tree,200,0.01282,-3.0,3,0.8,0,0,59
Tree,200,0.01282,-3.0,3,0.8,0,0,188
Tree,200,0.01282,-3.0,3,0.8,0,0,49
Tree,200,0.01282,-3.0,3,0.8,0,0,157
Tree,200,0.01282,-3.0,3,0.8,0,0,197
Tree,200,0.01282,-3.0,3,0.8,0,0,269
Tree,200,0.01282,-3.0,3,0.8,0,0,98
Tree,200,0.01282,-3.0,3,0.8,0,0,57
Tree,200,0.01282,-3.0,3,0.8,0,0,187
Tree,200,0.01282,-3.0,3,0.8,0,0,121
Tree,200,0.01282,-3.0,3,0.8,0,0,175
Tree,200,0.01282,-3.0,3,0.8,0,0,197
Tree,200,0.01282,-3.0,3,0.8,0,0,76
Tree,200,0.01282,-3.0,2,0.8,0,0,32
Tree,200,0.01282,-3.0,3,0.8,0,0,1
Tree,200,0.01282,-3.0,3,0.8,0,0,226
Tree,200,0.01282,-3.0,3,0.8,0,0,173
Tree,200,0.01282,-3.0,1,0.8,0,0,45
Tree,200,0.01282,-3.0,3,0.8,0,0,25
Tree,200,0.01282,-3.0,3,0.8,0,0,83
Tree,200,0.01282,-3.0,3,0.8,0,0,214
Tree,200,0.01282,-3.0,3,0.8,0,0,175
Tree,200,0.01282,-3.0,2,0.8,0,0,194
