DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,393
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,367
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,40
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,116
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,162
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,135
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,82
WattsStrogatz,200,0.03015,10.0,5,0.8,0.1,0,379
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,300
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,8
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,231
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,109
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,211
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,45
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,249
WattsStrogatz,200,0.03015,10.0,2,0.8,0.1,0,116
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,82
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,145
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,278
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,21
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,455
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,148
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,493
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,597
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,93
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,2095
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,77
WattsStrogatz,200,0.03015,10.0,4,0.8,0.1,0,62
WattsStrogatz,200,0.03015,10.0,3,0.8,0.1,0,135
