DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,231
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,149
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,123
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,151
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,5
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,59
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,190
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,212
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,234
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,215
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,12
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,256
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,104
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,148
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,294
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,134
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,235
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,112
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,86
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,14
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,346
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,26
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,0,68
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,267
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,47
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,185
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,76
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,103
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,295
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,9
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,25
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,285
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,330
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,12
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,176
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,277
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,433
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,55
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,337
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,172
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,121
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,31
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,285
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,250
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,265
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,311
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,19
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,69
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,73
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,201
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,464
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,0,121
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,100
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,89
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,320
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,254
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,119
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,6
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,6
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,218
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,63
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,198
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,198
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,6
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,224
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,192
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,208
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,46
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,267
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,106
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,98
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,75
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,34
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,177
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,303
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,7
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,206
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,113
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,16
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,231
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,47
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,375
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,120
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,68
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,179
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,0,1
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,34
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,166
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,25
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,137
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,198
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,57
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,132
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,80
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,212
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,47
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,214
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,22
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,15
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,297
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,123
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,115
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,0,118
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,222
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,208
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,132
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,0,9
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,200
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,0,24
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,192
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,68
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,145
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,356
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,173
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,147
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,54
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,8
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,178
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,219
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,252
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,79
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,130
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,117
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,244
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,270
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,157
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,427
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,0,29
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,158
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,171
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,0,137
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,185
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,0,338
