DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,145
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,57
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,397
WattsStrogatz,200,0.04020,10.0,5,0.8,0.1,0,2503
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,703
WattsStrogatz,200,0.04020,10.0,2,0.8,0.1,0,74
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,27
WattsStrogatz,200,0.04020,10.0,2,0.8,0.1,0,109
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,54
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,1599
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,923
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,65
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,1331
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,48
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,309
WattsStrogatz,200,0.04020,10.0,2,0.8,0.1,0,29
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,172
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,140
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,396
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,313
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,11
WattsStrogatz,200,0.04020,10.0,2,0.8,0.1,0,17
WattsStrogatz,200,0.04020,10.0,5,0.8,0.1,0,110
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,213
WattsStrogatz,200,0.04020,10.0,5,0.8,0.1,0,10
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,137
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,799
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,62
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,121
WattsStrogatz,200,0.04020,10.0,5,0.8,0.1,0,1164
WattsStrogatz,200,0.04020,10.0,2,0.8,0.1,0,54
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,1841
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,121
WattsStrogatz,200,0.04020,10.0,5,0.8,0.1,0,485
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,202
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,120
WattsStrogatz,200,0.04020,10.0,5,0.8,0.1,0,12
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,81
WattsStrogatz,200,0.04020,10.0,5,0.8,0.1,0,1482
WattsStrogatz,200,0.04020,10.0,4,0.8,0.1,0,304
WattsStrogatz,200,0.04020,10.0,3,0.8,0.1,0,20
