DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,69
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,86
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,45
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,33
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,9
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,63
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,18
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,55
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,115
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,84
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,1
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,20
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,34
Tree,200,1,0.01282,-1.7,2,0.8,0,0.25,22
Tree,200,1,0.01282,-1.7,2,0.8,0,0.25,96
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,5
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,1
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,54
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,172
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,4
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,53
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,1
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,84
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,55
Tree,200,1,0.01282,-1.7,2,0.8,0,0.25,28
Tree,200,1,0.01282,-1.7,2,0.8,0,0.25,112
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,6
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,142
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,56
Tree,200,1,0.01282,-1.7,2,0.8,0,0.25,65
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,16
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,159
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,49
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,29
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,26
Tree,200,1,0.01282,-1.7,2,0.8,0,0.25,29
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,6
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,97
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,5
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,86
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,7
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,44
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,59
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,6
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,149
Tree,200,1,0.01282,-1.7,1,0.8,0,0.25,41
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,18
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,31
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,79
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,9
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,70
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,28
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,20
Tree,200,1,0.01282,-1.7,2,0.8,0,0.25,20
Tree,200,1,0.01282,-1.7,2,0.8,0,0.25,24
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,154
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,24
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,17
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,18
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,116
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,93
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,115
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,1
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,79
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,145
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,43
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,55
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,130
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,1
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,43
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,105
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,133
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,129
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,24
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,1
Tree,200,1,0.01282,-1.7,3,0.8,0,0.25,8
