DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,12
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,28
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,12
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,6
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,24
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,6
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,6
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,17
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,19
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,4
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,14
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,10
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,18
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,4
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,43
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,13
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,21
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,10
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,15
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,4
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,4
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,13
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,11
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,9
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,14
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,11
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,12
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,6
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,23
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,24
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,14
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,15
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,7
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,6
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,7
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,8
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,3
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,24
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,8
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,2
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,6
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,11
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,1
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,4
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,5
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,13
BarabasiAlbert,200,1,0.02985,-2.8,0,0.8,0,50,8
