DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,1,0.01282,-1.6,0,0.8,0,50,7
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,23
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,12
Tree,200,1,0.01282,-1.6,0,0.8,0,50,39
Tree,200,1,0.01282,-1.6,0,0.8,0,50,53
Tree,200,1,0.01282,-1.6,0,0.8,0,50,3
Tree,200,1,0.01282,-1.6,0,0.8,0,50,5
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,17
Tree,200,1,0.01282,-1.6,0,0.8,0,50,26
Tree,200,1,0.01282,-1.6,0,0.8,0,50,48
Tree,200,1,0.01282,-1.6,0,0.8,0,50,17
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,37
Tree,200,1,0.01282,-1.6,0,0.8,0,50,28
Tree,200,1,0.01282,-1.6,0,0.8,0,50,41
Tree,200,1,0.01282,-1.6,0,0.8,0,50,67
Tree,200,1,0.01282,-1.6,0,0.8,0,50,2
Tree,200,1,0.01282,-1.6,0,0.8,0,50,3
Tree,200,1,0.01282,-1.6,0,0.8,0,50,91
Tree,200,1,0.01282,-1.6,0,0.8,0,50,2
Tree,200,1,0.01282,-1.6,0,0.8,0,50,25
Tree,200,1,0.01282,-1.6,0,0.8,0,50,24
Tree,200,1,0.01282,-1.6,0,0.8,0,50,34
Tree,200,1,0.01282,-1.6,0,0.8,0,50,6
Tree,200,1,0.01282,-1.6,0,0.8,0,50,3
Tree,200,1,0.01282,-1.6,0,0.8,0,50,44
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,14
Tree,200,1,0.01282,-1.6,0,0.8,0,50,13
Tree,200,1,0.01282,-1.6,0,0.8,0,50,11
Tree,200,1,0.01282,-1.6,0,0.8,0,50,14
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,3
Tree,200,1,0.01282,-1.6,0,0.8,0,50,8
Tree,200,1,0.01282,-1.6,0,0.8,0,50,45
Tree,200,1,0.01282,-1.6,0,0.8,0,50,99
Tree,200,1,0.01282,-1.6,0,0.8,0,50,52
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,2
Tree,200,1,0.01282,-1.6,0,0.8,0,50,20
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,31
Tree,200,1,0.01282,-1.6,0,0.8,0,50,7
Tree,200,1,0.01282,-1.6,0,0.8,0,50,44
Tree,200,1,0.01282,-1.6,0,0.8,0,50,28
Tree,200,1,0.01282,-1.6,0,0.8,0,50,2
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,6
Tree,200,1,0.01282,-1.6,0,0.8,0,50,86
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,114
Tree,200,1,0.01282,-1.6,0,0.8,0,50,25
Tree,200,1,0.01282,-1.6,0,0.8,0,50,61
Tree,200,1,0.01282,-1.6,0,0.8,0,50,26
Tree,200,1,0.01282,-1.6,0,0.8,0,50,13
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,42
Tree,200,1,0.01282,-1.6,0,0.8,0,50,8
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,18
Tree,200,1,0.01282,-1.6,0,0.8,0,50,2
Tree,200,1,0.01282,-1.6,0,0.8,0,50,112
Tree,200,1,0.01282,-1.6,0,0.8,0,50,13
Tree,200,1,0.01282,-1.6,0,0.8,0,50,70
Tree,200,1,0.01282,-1.6,0,0.8,0,50,11
Tree,200,1,0.01282,-1.6,0,0.8,0,50,5
Tree,200,1,0.01282,-1.6,0,0.8,0,50,33
Tree,200,1,0.01282,-1.6,0,0.8,0,50,10
Tree,200,1,0.01282,-1.6,0,0.8,0,50,4
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,39
Tree,200,1,0.01282,-1.6,0,0.8,0,50,3
Tree,200,1,0.01282,-1.6,0,0.8,0,50,2
Tree,200,1,0.01282,-1.6,0,0.8,0,50,8
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,12
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,47
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,3
Tree,200,1,0.01282,-1.6,0,0.8,0,50,1
Tree,200,1,0.01282,-1.6,0,0.8,0,50,5
Tree,200,1,0.01282,-1.6,0,0.8,0,50,72
Tree,200,1,0.01282,-1.6,0,0.8,0,50,2
Tree,200,1,0.01282,-1.6,0,0.8,0,50,5
Tree,200,1,0.01282,-1.6,0,0.8,0,50,75
