DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,110
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,222
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,84
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,85
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,40
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,135
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,31
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,207
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,64
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,169
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,74
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,35
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,55
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,30
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,21
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,190
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,98
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,8
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,22
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,36
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,23
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,272
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,82
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,64
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,12
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,49
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,71
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,68
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,70
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,162
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,22
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,85
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,20
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,105
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,113
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,180
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,64
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,40
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,93
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,44
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,79
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,37
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,0
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,40
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,11
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,93
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,70
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,126
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,136
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,117
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,91
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,12
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,7
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,29
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,82
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,94
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,115
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,209
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,19
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,22
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,30
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,75
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,99
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,148
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,19
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,93
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,9
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,189
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,156
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,0
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,164
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,264
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,52
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,39
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,53
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,134
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,19
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,140
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,31
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,179
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,104
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,36
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,67
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,57
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,118
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,5
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,26
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,116
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,16
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,0
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,67
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,60
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,100
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,174
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,97
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,8
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,58
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,18
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,43
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,51
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,217
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,92
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,91
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,4
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,42
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,57
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,147
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,62
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,26
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,50
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,37
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,139
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,71
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,20
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,167
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,26
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,177
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,46
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,23
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,192
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,34
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,60
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,27
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,12
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,109
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,113
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,134
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,153
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,63
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,65
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,111
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,115
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,121
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,50
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,41
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,41
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,250
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,4
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,19
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,98
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,73
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,14
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,15
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,139
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,200
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,16
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,145
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,30
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,156
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,15
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,185
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,88
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,12
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,124
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,104
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,21
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,27
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,58
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,121
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,74
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,151
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,90
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,26
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,148
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,176
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,31
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,32
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,107
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,110
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,195
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,59
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,96
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,222
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,58
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,120
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,136
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,88
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,34
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,103
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,153
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,4
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,8
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,17
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,230
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,94
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,173
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,7
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,84
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,9
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,30
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,92
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,4
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,238
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,55
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,48
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,134
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,164
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,12
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,192
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,189
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,54
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,0
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,94
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,209
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,196
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,143
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,10
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,41
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,67
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,190
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,1
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,32
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,10
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,202
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,15
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,12
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,4
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,126
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,98
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,100
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,85
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,232
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,61
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,8
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,85
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,32
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,7
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,65
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,242
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,56
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,105
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,166
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,146
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,26
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,109
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,12
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,158
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,74
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,32
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,3
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,40
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,163
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,36
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,0
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,2
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,43
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,54
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,12
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,8
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,37
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,119
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,95
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,82
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,113
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,5
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,137
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,51
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,16
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,4
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,175
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,140
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,137
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,23
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,82
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,42
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,46
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,17
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,168
Tree,200,1,0.01282,10.0,0,0.8,0.1,50,43
