DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,11
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,10
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,8
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,5
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,75
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,9
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,11
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,99
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,41
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,11
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,10
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,14
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,82
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,13
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,41
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,24
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,12
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,0
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,162
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,28
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,5
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,5
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,31
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,147
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,2
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,214
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,5
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,51
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,69
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,4
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,2
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,34
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,38
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,4
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,130
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,34
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,5
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,32
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,75
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,54
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,8
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,2
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,15
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,44
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,21
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,0
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,20
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,40
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,14
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,2
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,128
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,10
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,15
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,50
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,5
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,58
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,55
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,52
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,18
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,55
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,11
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,20
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,18
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,59
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,13
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,24
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,14
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,45
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,17
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,4
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,11
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,22
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,72
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,32
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,8
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,15
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,54
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,41
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,18
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,55
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,8
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,19
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,36
WattsStrogatz,200,1,0.02010,-0.2,0,0.8,0,50,62
