DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,4
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,20
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,2
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,90
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,13
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,7
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,13
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,6
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,14
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,10
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,16
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,168
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,3
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,28
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,23
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,12
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,69
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,10
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,28
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,16
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,63
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,28
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,21
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,11
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,56
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,2
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,93
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,109
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,6
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,74
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,23
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,6
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,27
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,184
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,50
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,19
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,22
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,70
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,58
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,1
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,25
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,41
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,65
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,38
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,79
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,6
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,61
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,9
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,12
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,208
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,92
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,78
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,152
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,32
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,79
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,153
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,140
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,28
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,94
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,34
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,44
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,33
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,3
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,89
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,8
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,42
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,55
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,37
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,34
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,25
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,92
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,57
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,25
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,2
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,7
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,46
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,42
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,136
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,8
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,177
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,3
WattsStrogatz,200,1,0.02010,0.8,0,0.8,0,50,12
