DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,157
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,258
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,191
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,174
BarabasiAlbert,200,5,0.03970,10.0,1.8,0.8,0.1,0.5,137
BarabasiAlbert,200,5,0.03970,10.0,2.2,0.8,0.1,0.5,93
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,359
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,148
BarabasiAlbert,200,5,0.03970,10.0,2.8,0.8,0.1,0.5,129
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,91
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,123
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,27
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,106
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,139
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,37
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,50
BarabasiAlbert,200,5,0.03970,10.0,2,0.8,0.1,0.5,56
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,105
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,180
BarabasiAlbert,200,5,0.03970,10.0,1.6,0.8,0.1,0.5,45
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,109
BarabasiAlbert,200,5,0.03970,10.0,2.2,0.8,0.1,0.5,89
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,207
BarabasiAlbert,200,5,0.03970,10.0,2.8,0.8,0.1,0.5,66
BarabasiAlbert,200,5,0.03970,10.0,1.8,0.8,0.1,0.5,81
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,152
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,142
BarabasiAlbert,200,5,0.03970,10.0,2.8,0.8,0.1,0.5,55
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,258
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,291
BarabasiAlbert,200,5,0.03970,10.0,1.8,0.8,0.1,0.5,40
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,325
BarabasiAlbert,200,5,0.03970,10.0,1.6,0.8,0.1,0.5,310
BarabasiAlbert,200,5,0.03970,10.0,1.8,0.8,0.1,0.5,306
BarabasiAlbert,200,5,0.03970,10.0,2.8,0.8,0.1,0.5,97
BarabasiAlbert,200,5,0.03970,10.0,1.8,0.8,0.1,0.5,133
BarabasiAlbert,200,5,0.03970,10.0,2.2,0.8,0.1,0.5,136
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,151
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,98
BarabasiAlbert,200,5,0.03970,10.0,1.8,0.8,0.1,0.5,73
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,56
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,254
BarabasiAlbert,200,5,0.03970,10.0,1.8,0.8,0.1,0.5,52
BarabasiAlbert,200,5,0.03970,10.0,2,0.8,0.1,0.5,90
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,32
BarabasiAlbert,200,5,0.03970,10.0,2,0.8,0.1,0.5,119
BarabasiAlbert,200,5,0.03970,10.0,2.8,0.8,0.1,0.5,126
BarabasiAlbert,200,5,0.03970,10.0,2,0.8,0.1,0.5,184
BarabasiAlbert,200,5,0.03970,10.0,1.4,0.8,0.1,0.5,101
BarabasiAlbert,200,5,0.03970,10.0,2,0.8,0.1,0.5,124
BarabasiAlbert,200,5,0.03970,10.0,2.8,0.8,0.1,0.5,134
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,95
BarabasiAlbert,200,5,0.03970,10.0,1.2,0.8,0.1,0.5,56
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,40
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,356
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,33
BarabasiAlbert,200,5,0.03970,10.0,2.4,0.8,0.1,0.5,117
BarabasiAlbert,200,5,0.03970,10.0,3,0.8,0.1,0.5,45
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,135
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,51
BarabasiAlbert,200,5,0.03970,10.0,2.8,0.8,0.1,0.5,138
BarabasiAlbert,200,5,0.03970,10.0,2.8,0.8,0.1,0.5,222
BarabasiAlbert,200,5,0.03970,10.0,2.6,0.8,0.1,0.5,359
