DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,43
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,13
BarabasiAlbert,200,5,0.04950,-3.0,1.8,0.8,0,0.5,32
BarabasiAlbert,200,5,0.04950,-3.0,1.8,0.8,0,0.5,149
BarabasiAlbert,200,5,0.04950,-3.0,1.8,0.8,0,0.5,176
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,18
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,53
BarabasiAlbert,200,5,0.04950,-3.0,1.8,0.8,0,0.5,19
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,32
BarabasiAlbert,200,5,0.04950,-3.0,3,0.8,0,0.5,32
BarabasiAlbert,200,5,0.04950,-3.0,2.2,0.8,0,0.5,66
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,47
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,61
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,39
BarabasiAlbert,200,5,0.04950,-3.0,2.2,0.8,0,0.5,26
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,12
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,57
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,45
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,112
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,24
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,45
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,147
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,68
BarabasiAlbert,200,5,0.04950,-3.0,3,0.8,0,0.5,121
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,37
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,39
BarabasiAlbert,200,5,0.04950,-3.0,2.2,0.8,0,0.5,43
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,16
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,23
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,36
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,21
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,278
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,64
BarabasiAlbert,200,5,0.04950,-3.0,3,0.8,0,0.5,27
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,27
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,16
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,78
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,17
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,67
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,35
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,36
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,18
BarabasiAlbert,200,5,0.04950,-3.0,3,0.8,0,0.5,47
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,21
BarabasiAlbert,200,5,0.04950,-3.0,1.6,0.8,0,0.5,86
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,44
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,28
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,38
BarabasiAlbert,200,5,0.04950,-3.0,2.2,0.8,0,0.5,158
BarabasiAlbert,200,5,0.04950,-3.0,2.2,0.8,0,0.5,105
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,63
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,19
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,76
BarabasiAlbert,200,5,0.04950,-3.0,1.8,0.8,0,0.5,105
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,34
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,31
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,58
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,30
BarabasiAlbert,200,5,0.04950,-3.0,2.6,0.8,0,0.5,21
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,64
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,61
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,31
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,63
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,69
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,58
BarabasiAlbert,200,5,0.04950,-3.0,2,0.8,0,0.5,163
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,21
BarabasiAlbert,200,5,0.04950,-3.0,2.8,0.8,0,0.5,42
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,88
BarabasiAlbert,200,5,0.04950,-3.0,2.4,0.8,0,0.5,43
