DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,38
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,3
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,8
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,16
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,11
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,6
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,4
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,15
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,16
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,8
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,7
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,15
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,13
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,21
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,7
BarabasiAlbert,200,0.05925,-2.2,1,0.8,0,0.5,1
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,20
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,1
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,57
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,1
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,3
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,11
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,20
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,26
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,5
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,22
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,16
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,7
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,27
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,3
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,35
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,46
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,6
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,2
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,23
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,51
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,4
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,14
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,17
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,2
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,5
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,2
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,94
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,28
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,8
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,37
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,24
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,2
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,4
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,18
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,7
BarabasiAlbert,200,0.05925,-2.2,2,0.8,0,0.5,20
BarabasiAlbert,200,0.05925,-2.2,3,0.8,0,0.5,9
