DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,199
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,36
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,115
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,123
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,124
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,309
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,128
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,32
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,51
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,78
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,153
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,283
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,72
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,68
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,17
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,54
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,119
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,102
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,143
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,222
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,78
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,77
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,206
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,176
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,26
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,45
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,66
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,143
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,14
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,62
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,18
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,5
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,5
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,141
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,86
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,245
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,157
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,67
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,120
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,13
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,103
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,197
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,68
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,386
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,165
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,181
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,370
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,585
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,69
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,2
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,116
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,300
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,113
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,79
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,146
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,1
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,7
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,12
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,8
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,88
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,680
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,2
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,113
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,335
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,36
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,149
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,218
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,82
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,239
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,693
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,300
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,6
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,47
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,201
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,54
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,17
Tree,200,0.01282,10.0,0,0.8,0.1,0.5,0
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,21
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,136
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,23
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,80
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,31
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,107
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,277
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,39
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,218
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,125
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,173
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,97
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,7
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,9
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,33
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,64
Tree,200,0.01282,10.0,0,0.8,0.1,0.5,0
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,81
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,41
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,25
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,198
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,382
Tree,200,0.01282,10.0,0,0.8,0.1,0.5,0
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,120
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,20
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,2
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,84
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,206
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,5
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,38
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,87
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,75
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,679
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,133
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,23
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,23
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,254
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,994
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,321
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,429
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,107
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,535
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,23
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,112
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,24
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,125
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,181
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,476
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,206
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,106
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,66
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,708
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,56
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,164
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,1
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,115
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,321
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,147
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,105
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,127
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,66
Tree,200,0.01282,10.0,0,0.8,0.1,0.5,0
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,305
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,14
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,224
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,12
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,19
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,344
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,127
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,144
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,39
