DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,0.01282,-0.8,3,0.8,0,0.5,30
Tree,200,0.01282,-0.8,3,0.8,0,0.5,26
Tree,200,0.01282,-0.8,1,0.8,0,0.5,5
Tree,200,0.01282,-0.8,3,0.8,0,0.5,26
Tree,200,0.01282,-0.8,3,0.8,0,0.5,180
Tree,200,0.01282,-0.8,2,0.8,0,0.5,10
Tree,200,0.01282,-0.8,3,0.8,0,0.5,145
Tree,200,0.01282,-0.8,3,0.8,0,0.5,159
Tree,200,0.01282,-0.8,2,0.8,0,0.5,1
Tree,200,0.01282,-0.8,3,0.8,0,0.5,4
Tree,200,0.01282,-0.8,3,0.8,0,0.5,9
Tree,200,0.01282,-0.8,3,0.8,0,0.5,1
Tree,200,0.01282,-0.8,3,0.8,0,0.5,97
Tree,200,0.01282,-0.8,3,0.8,0,0.5,29
Tree,200,0.01282,-0.8,3,0.8,0,0.5,122
Tree,200,0.01282,-0.8,2,0.8,0,0.5,28
Tree,200,0.01282,-0.8,3,0.8,0,0.5,84
Tree,200,0.01282,-0.8,3,0.8,0,0.5,50
Tree,200,0.01282,-0.8,3,0.8,0,0.5,110
Tree,200,0.01282,-0.8,3,0.8,0,0.5,8
Tree,200,0.01282,-0.8,3,0.8,0,0.5,24
Tree,200,0.01282,-0.8,3,0.8,0,0.5,76
Tree,200,0.01282,-0.8,3,0.8,0,0.5,124
Tree,200,0.01282,-0.8,3,0.8,0,0.5,96
Tree,200,0.01282,-0.8,1,0.8,0,0.5,3
Tree,200,0.01282,-0.8,3,0.8,0,0.5,37
Tree,200,0.01282,-0.8,1,0.8,0,0.5,18
Tree,200,0.01282,-0.8,3,0.8,0,0.5,20
Tree,200,0.01282,-0.8,3,0.8,0,0.5,9
Tree,200,0.01282,-0.8,3,0.8,0,0.5,8
Tree,200,0.01282,-0.8,3,0.8,0,0.5,4
Tree,200,0.01282,-0.8,3,0.8,0,0.5,46
Tree,200,0.01282,-0.8,3,0.8,0,0.5,1
Tree,200,0.01282,-0.8,3,0.8,0,0.5,60
Tree,200,0.01282,-0.8,3,0.8,0,0.5,84
Tree,200,0.01282,-0.8,3,0.8,0,0.5,16
Tree,200,0.01282,-0.8,2,0.8,0,0.5,25
Tree,200,0.01282,-0.8,3,0.8,0,0.5,37
Tree,200,0.01282,-0.8,3,0.8,0,0.5,13
Tree,200,0.01282,-0.8,3,0.8,0,0.5,18
Tree,200,0.01282,-0.8,3,0.8,0,0.5,34
Tree,200,0.01282,-0.8,1,0.8,0,0.5,15
Tree,200,0.01282,-0.8,3,0.8,0,0.5,115
Tree,200,0.01282,-0.8,3,0.8,0,0.5,88
Tree,200,0.01282,-0.8,3,0.8,0,0.5,42
Tree,200,0.01282,-0.8,3,0.8,0,0.5,63
Tree,200,0.01282,-0.8,2,0.8,0,0.5,15
Tree,200,0.01282,-0.8,3,0.8,0,0.5,1
Tree,200,0.01282,-0.8,3,0.8,0,0.5,18
Tree,200,0.01282,-0.8,2,0.8,0,0.5,10
Tree,200,0.01282,-0.8,3,0.8,0,0.5,48
Tree,200,0.01282,-0.8,2,0.8,0,0.5,2
Tree,200,0.01282,-0.8,3,0.8,0,0.5,42
Tree,200,0.01282,-0.8,3,0.8,0,0.5,87
Tree,200,0.01282,-0.8,3,0.8,0,0.5,36
Tree,200,0.01282,-0.8,3,0.8,0,0.5,17
Tree,200,0.01282,-0.8,3,0.8,0,0.5,74
Tree,200,0.01282,-0.8,3,0.8,0,0.5,49
Tree,200,0.01282,-0.8,3,0.8,0,0.5,101
Tree,200,0.01282,-0.8,3,0.8,0,0.5,153
Tree,200,0.01282,-0.8,3,0.8,0,0.5,43
Tree,200,0.01282,-0.8,3,0.8,0,0.5,55
Tree,200,0.01282,-0.8,3,0.8,0,0.5,118
Tree,200,0.01282,-0.8,3,0.8,0,0.5,79
Tree,200,0.01282,-0.8,3,0.8,0,0.5,7
Tree,200,0.01282,-0.8,3,0.8,0,0.5,122
Tree,200,0.01282,-0.8,3,0.8,0,0.5,29
Tree,200,0.01282,-0.8,3,0.8,0,0.5,46
Tree,200,0.01282,-0.8,3,0.8,0,0.5,237
Tree,200,0.01282,-0.8,3,0.8,0,0.5,84
Tree,200,0.01282,-0.8,3,0.8,0,0.5,77
Tree,200,0.01282,-0.8,2,0.8,0,0.5,2
Tree,200,0.01282,-0.8,3,0.8,0,0.5,81
Tree,200,0.01282,-0.8,3,0.8,0,0.5,59
Tree,200,0.01282,-0.8,1,0.8,0,0.5,1
Tree,200,0.01282,-0.8,3,0.8,0,0.5,9
Tree,200,0.01282,-0.8,3,0.8,0,0.5,4
Tree,200,0.01282,-0.8,3,0.8,0,0.5,32
Tree,200,0.01282,-0.8,3,0.8,0,0.5,99
Tree,200,0.01282,-0.8,3,0.8,0,0.5,23
Tree,200,0.01282,-0.8,3,0.8,0,0.5,46
Tree,200,0.01282,-0.8,3,0.8,0,0.5,107
Tree,200,0.01282,-0.8,3,0.8,0,0.5,3
Tree,200,0.01282,-0.8,3,0.8,0,0.5,62
Tree,200,0.01282,-0.8,2,0.8,0,0.5,13
Tree,200,0.01282,-0.8,3,0.8,0,0.5,58
Tree,200,0.01282,-0.8,3,0.8,0,0.5,16
Tree,200,0.01282,-0.8,3,0.8,0,0.5,114
Tree,200,0.01282,-0.8,3,0.8,0,0.5,5
Tree,200,0.01282,-0.8,3,0.8,0,0.5,132
Tree,200,0.01282,-0.8,3,0.8,0,0.5,1
Tree,200,0.01282,-0.8,3,0.8,0,0.5,1
Tree,200,0.01282,-0.8,3,0.8,0,0.5,164
Tree,200,0.01282,-0.8,2,0.8,0,0.5,1
Tree,200,0.01282,-0.8,3,0.8,0,0.5,33
Tree,200,0.01282,-0.8,3,0.8,0,0.5,46
Tree,200,0.01282,-0.8,3,0.8,0,0.5,22
Tree,200,0.01282,-0.8,2,0.8,0,0.5,2
Tree,200,0.01282,-0.8,3,0.8,0,0.5,47
Tree,200,0.01282,-0.8,3,0.8,0,0.5,13
Tree,200,0.01282,-0.8,3,0.8,0,0.5,4
Tree,200,0.01282,-0.8,3,0.8,0,0.5,16
