DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,315
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,0.5,14
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,0.5,4674
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,0.5,58
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,81
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,0.5,24
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,451
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,0.5,467
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,0.5,48
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,0.5,40
WattsStrogatz,200,0.02010,10.0,2,0.8,0.1,0.5,17
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,0.5,9
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,198
WattsStrogatz,200,0.02010,10.0,2,0.8,0.1,0.5,9
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,0.5,12
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,0.5,34
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,119
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,0.5,45
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,397
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,10
WattsStrogatz,200,0.02010,10.0,2,0.8,0.1,0.5,11
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,125
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,29
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,0.5,94
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,0.5,99
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,189
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,0.5,228
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,0.5,58
