DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,198
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,85
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,200
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,70
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,166
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,45
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,527
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,15
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,29
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,1
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,14
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,44
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,179
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,39
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,8
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,9
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,125
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,353
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,92
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,14
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,287
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,27
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,3
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,183
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,5
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,153
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,271
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,182
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,114
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,52
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,14
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,42
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,161
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,1
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,62
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,71
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,139
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,441
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,21
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,2
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,171
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,1070
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,541
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,122
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,294
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,602
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,101
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,258
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,107
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,61
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,24
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,19
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,78
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,2
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,78
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,214
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,123
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,89
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,159
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,103
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,382
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,167
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,19
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,305
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,196
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,263
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,97
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,567
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,198
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,70
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,281
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,83
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,121
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,1
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,274
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,111
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,18
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,198
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,91
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,55
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,170
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,187
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,288
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,172
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,115
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,79
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,14
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,140
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,305
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,157
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,363
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,41
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,328
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,60
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,9
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,82
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,80
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,752
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,66
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,32
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,18
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,68
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,62
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,215
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,116
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,66
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,288
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,88
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,50
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,138
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,213
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,194
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,146
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,40
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,277
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,28
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,337
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,66
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,15
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,79
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,181
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,213
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,4
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,328
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,647
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,63
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,14
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,160
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,355
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,209
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,65
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,45
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,40
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,236
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,453
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,54
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,182
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,116
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,166
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,30
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,258
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,17
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,211
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,21
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,16
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,498
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,18
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,132
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,385
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,147
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,105
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,570
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,58
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,3
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,199
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,42
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,227
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,827
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,72
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,375
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,109
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,103
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,681
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,5
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,313
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,57
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,65
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,30
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,128
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,49
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,129
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,441
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,177
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,145
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,22
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,1
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,47
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,238
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,10
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,205
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,23
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,28
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,498
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,94
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,164
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,42
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,10
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,94
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,53
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,3
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,93
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,383
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,30
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,105
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,93
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,60
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,21
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,127
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,87
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,138
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,647
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,21
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,233
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,28
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,9
Tree,200,0.01282,10.0,1,0.8,0.1,0.5,19
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,580
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,11
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,28
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,245
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,250
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,121
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,143
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,14
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,478
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,117
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,180
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,104
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,149
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,114
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,71
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,505
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,272
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,67
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,227
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,106
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,77
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,147
Tree,200,0.01282,10.0,2,0.8,0.1,0.5,6
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,85
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,194
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,352
Tree,200,0.01282,10.0,3,0.8,0.1,0.5,7
