DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,5
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,51
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,37
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,6
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,32
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,31
Tree,200,5,0.01282,1.6,2.4,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,3
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,79
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,20
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,26
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,218
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,28
Tree,200,5,0.01282,1.6,2.2,0.8,0,0.5,0
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,70
Tree,200,5,0.01282,1.6,2.4,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,59
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,49
Tree,200,5,0.01282,1.6,2.2,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,5
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,15
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,4
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,3
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,29
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,1.8,0.8,0,0.5,0
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,37
Tree,200,5,0.01282,1.6,2,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,2.4,0.8,0,0.5,27
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,9
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,12
Tree,200,5,0.01282,1.6,2.8,0.8,0,0.5,31
Tree,200,5,0.01282,1.6,2.2,0.8,0,0.5,0
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,4
Tree,200,5,0.01282,1.6,2.4,0.8,0,0.5,1
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,3
Tree,200,5,0.01282,1.6,3,0.8,0,0.5,2
Tree,200,5,0.01282,1.6,2.6,0.8,0,0.5,1
