DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,0.01282,2.0,1,0.8,0,0.5,39
Tree,200,0.01282,2.0,3,0.8,0,0.5,3
Tree,200,0.01282,2.0,3,0.8,0,0.5,228
Tree,200,0.01282,2.0,3,0.8,0,0.5,479
Tree,200,0.01282,2.0,3,0.8,0,0.5,244
Tree,200,0.01282,2.0,3,0.8,0,0.5,6
Tree,200,0.01282,2.0,1,0.8,0,0.5,1
Tree,200,0.01282,2.0,3,0.8,0,0.5,7
Tree,200,0.01282,2.0,3,0.8,0,0.5,215
Tree,200,0.01282,2.0,3,0.8,0,0.5,319
Tree,200,0.01282,2.0,3,0.8,0,0.5,267
Tree,200,0.01282,2.0,3,0.8,0,0.5,612
Tree,200,0.01282,2.0,3,0.8,0,0.5,9
Tree,200,0.01282,2.0,2,0.8,0,0.5,4
Tree,200,0.01282,2.0,3,0.8,0,0.5,5
Tree,200,0.01282,2.0,3,0.8,0,0.5,193
Tree,200,0.01282,2.0,3,0.8,0,0.5,164
Tree,200,0.01282,2.0,3,0.8,0,0.5,20
Tree,200,0.01282,2.0,2,0.8,0,0.5,172
Tree,200,0.01282,2.0,3,0.8,0,0.5,79
Tree,200,0.01282,2.0,3,0.8,0,0.5,44
Tree,200,0.01282,2.0,3,0.8,0,0.5,21
Tree,200,0.01282,2.0,3,0.8,0,0.5,188
Tree,200,0.01282,2.0,3,0.8,0,0.5,765
Tree,200,0.01282,2.0,2,0.8,0,0.5,118
Tree,200,0.01282,2.0,2,0.8,0,0.5,1
Tree,200,0.01282,2.0,2,0.8,0,0.5,158
Tree,200,0.01282,2.0,3,0.8,0,0.5,339
Tree,200,0.01282,2.0,3,0.8,0,0.5,120
Tree,200,0.01282,2.0,2,0.8,0,0.5,4
Tree,200,0.01282,2.0,3,0.8,0,0.5,11
Tree,200,0.01282,2.0,3,0.8,0,0.5,298
Tree,200,0.01282,2.0,2,0.8,0,0.5,4
Tree,200,0.01282,2.0,3,0.8,0,0.5,23
Tree,200,0.01282,2.0,3,0.8,0,0.5,139
Tree,200,0.01282,2.0,3,0.8,0,0.5,127
Tree,200,0.01282,2.0,3,0.8,0,0.5,29
Tree,200,0.01282,2.0,3,0.8,0,0.5,185
Tree,200,0.01282,2.0,3,0.8,0,0.5,200
Tree,200,0.01282,2.0,3,0.8,0,0.5,29
Tree,200,0.01282,2.0,3,0.8,0,0.5,188
Tree,200,0.01282,2.0,3,0.8,0,0.5,263
Tree,200,0.01282,2.0,3,0.8,0,0.5,160
Tree,200,0.01282,2.0,3,0.8,0,0.5,146
Tree,200,0.01282,2.0,3,0.8,0,0.5,220
Tree,200,0.01282,2.0,3,0.8,0,0.5,116
Tree,200,0.01282,2.0,3,0.8,0,0.5,105
Tree,200,0.01282,2.0,3,0.8,0,0.5,81
Tree,200,0.01282,2.0,3,0.8,0,0.5,151
Tree,200,0.01282,2.0,3,0.8,0,0.5,140
Tree,200,0.01282,2.0,3,0.8,0,0.5,96
Tree,200,0.01282,2.0,2,0.8,0,0.5,308
Tree,200,0.01282,2.0,1,0.8,0,0.5,1
Tree,200,0.01282,2.0,3,0.8,0,0.5,75
Tree,200,0.01282,2.0,3,0.8,0,0.5,22
Tree,200,0.01282,2.0,2,0.8,0,0.5,2
Tree,200,0.01282,2.0,3,0.8,0,0.5,186
Tree,200,0.01282,2.0,3,0.8,0,0.5,174
Tree,200,0.01282,2.0,1,0.8,0,0.5,107
Tree,200,0.01282,2.0,2,0.8,0,0.5,182
Tree,200,0.01282,2.0,3,0.8,0,0.5,124
Tree,200,0.01282,2.0,3,0.8,0,0.5,130
Tree,200,0.01282,2.0,3,0.8,0,0.5,144
Tree,200,0.01282,2.0,3,0.8,0,0.5,3
Tree,200,0.01282,2.0,3,0.8,0,0.5,330
Tree,200,0.01282,2.0,3,0.8,0,0.5,216
Tree,200,0.01282,2.0,3,0.8,0,0.5,53
Tree,200,0.01282,2.0,3,0.8,0,0.5,94
Tree,200,0.01282,2.0,3,0.8,0,0.5,26
Tree,200,0.01282,2.0,3,0.8,0,0.5,202
Tree,200,0.01282,2.0,3,0.8,0,0.5,189
Tree,200,0.01282,2.0,0,0.8,0,0.5,0
Tree,200,0.01282,2.0,2,0.8,0,0.5,106
Tree,200,0.01282,2.0,3,0.8,0,0.5,158
Tree,200,0.01282,2.0,3,0.8,0,0.5,103
Tree,200,0.01282,2.0,3,0.8,0,0.5,20
Tree,200,0.01282,2.0,3,0.8,0,0.5,199
Tree,200,0.01282,2.0,3,0.8,0,0.5,679
Tree,200,0.01282,2.0,3,0.8,0,0.5,181
Tree,200,0.01282,2.0,3,0.8,0,0.5,18
Tree,200,0.01282,2.0,3,0.8,0,0.5,142
Tree,200,0.01282,2.0,2,0.8,0,0.5,114
Tree,200,0.01282,2.0,3,0.8,0,0.5,5
Tree,200,0.01282,2.0,3,0.8,0,0.5,236
Tree,200,0.01282,2.0,2,0.8,0,0.5,39
Tree,200,0.01282,2.0,3,0.8,0,0.5,10
Tree,200,0.01282,2.0,2,0.8,0,0.5,2
Tree,200,0.01282,2.0,2,0.8,0,0.5,220
Tree,200,0.01282,2.0,3,0.8,0,0.5,7
Tree,200,0.01282,2.0,3,0.8,0,0.5,95
Tree,200,0.01282,2.0,3,0.8,0,0.5,179
Tree,200,0.01282,2.0,2,0.8,0,0.5,101
Tree,200,0.01282,2.0,3,0.8,0,0.5,139
Tree,200,0.01282,2.0,2,0.8,0,0.5,97
Tree,200,0.01282,2.0,3,0.8,0,0.5,83
Tree,200,0.01282,2.0,3,0.8,0,0.5,166
Tree,200,0.01282,2.0,3,0.8,0,0.5,8
Tree,200,0.01282,2.0,3,0.8,0,0.5,58
Tree,200,0.01282,2.0,3,0.8,0,0.5,13
Tree,200,0.01282,2.0,2,0.8,0,0.5,64
Tree,200,0.01282,2.0,1,0.8,0,0.5,1
Tree,200,0.01282,2.0,3,0.8,0,0.5,5
Tree,200,0.01282,2.0,2,0.8,0,0.5,19
Tree,200,0.01282,2.0,2,0.8,0,0.5,102
Tree,200,0.01282,2.0,3,0.8,0,0.5,166
Tree,200,0.01282,2.0,3,0.8,0,0.5,161
Tree,200,0.01282,2.0,1,0.8,0,0.5,1
Tree,200,0.01282,2.0,3,0.8,0,0.5,252
Tree,200,0.01282,2.0,3,0.8,0,0.5,2
Tree,200,0.01282,2.0,2,0.8,0,0.5,36
Tree,200,0.01282,2.0,3,0.8,0,0.5,71
Tree,200,0.01282,2.0,3,0.8,0,0.5,168
Tree,200,0.01282,2.0,2,0.8,0,0.5,205
Tree,200,0.01282,2.0,3,0.8,0,0.5,142
Tree,200,0.01282,2.0,3,0.8,0,0.5,120
Tree,200,0.01282,2.0,2,0.8,0,0.5,4
Tree,200,0.01282,2.0,2,0.8,0,0.5,2
Tree,200,0.01282,2.0,3,0.8,0,0.5,103
Tree,200,0.01282,2.0,3,0.8,0,0.5,344
Tree,200,0.01282,2.0,3,0.8,0,0.5,14
Tree,200,0.01282,2.0,3,0.8,0,0.5,273
Tree,200,0.01282,2.0,3,0.8,0,0.5,248
Tree,200,0.01282,2.0,3,0.8,0,0.5,174
Tree,200,0.01282,2.0,3,0.8,0,0.5,305
Tree,200,0.01282,2.0,3,0.8,0,0.5,58
Tree,200,0.01282,2.0,3,0.8,0,0.5,218
Tree,200,0.01282,2.0,3,0.8,0,0.5,78
Tree,200,0.01282,2.0,3,0.8,0,0.5,344
Tree,200,0.01282,2.0,3,0.8,0,0.5,156
Tree,200,0.01282,2.0,3,0.8,0,0.5,144
Tree,200,0.01282,2.0,3,0.8,0,0.5,517
Tree,200,0.01282,2.0,3,0.8,0,0.5,27
Tree,200,0.01282,2.0,3,0.8,0,0.5,39
Tree,200,0.01282,2.0,3,0.8,0,0.5,606
Tree,200,0.01282,2.0,3,0.8,0,0.5,368
Tree,200,0.01282,2.0,3,0.8,0,0.5,19
Tree,200,0.01282,2.0,2,0.8,0,0.5,99
Tree,200,0.01282,2.0,3,0.8,0,0.5,96
Tree,200,0.01282,2.0,3,0.8,0,0.5,209
Tree,200,0.01282,2.0,3,0.8,0,0.5,20
Tree,200,0.01282,2.0,3,0.8,0,0.5,27
Tree,200,0.01282,2.0,3,0.8,0,0.5,108
Tree,200,0.01282,2.0,3,0.8,0,0.5,5
Tree,200,0.01282,2.0,3,0.8,0,0.5,88
Tree,200,0.01282,2.0,1,0.8,0,0.5,3
Tree,200,0.01282,2.0,3,0.8,0,0.5,154
Tree,200,0.01282,2.0,3,0.8,0,0.5,206
Tree,200,0.01282,2.0,2,0.8,0,0.5,255
Tree,200,0.01282,2.0,3,0.8,0,0.5,41
Tree,200,0.01282,2.0,3,0.8,0,0.5,107
Tree,200,0.01282,2.0,3,0.8,0,0.5,5
Tree,200,0.01282,2.0,1,0.8,0,0.5,64
Tree,200,0.01282,2.0,3,0.8,0,0.5,151
Tree,200,0.01282,2.0,3,0.8,0,0.5,492
Tree,200,0.01282,2.0,3,0.8,0,0.5,147
Tree,200,0.01282,2.0,3,0.8,0,0.5,48
Tree,200,0.01282,2.0,3,0.8,0,0.5,161
Tree,200,0.01282,2.0,3,0.8,0,0.5,33
Tree,200,0.01282,2.0,3,0.8,0,0.5,240
Tree,200,0.01282,2.0,3,0.8,0,0.5,78
Tree,200,0.01282,2.0,2,0.8,0,0.5,4
Tree,200,0.01282,2.0,3,0.8,0,0.5,174
Tree,200,0.01282,2.0,3,0.8,0,0.5,525
Tree,200,0.01282,2.0,2,0.8,0,0.5,282
Tree,200,0.01282,2.0,3,0.8,0,0.5,100
Tree,200,0.01282,2.0,3,0.8,0,0.5,357
Tree,200,0.01282,2.0,3,0.8,0,0.5,359
Tree,200,0.01282,2.0,3,0.8,0,0.5,16
Tree,200,0.01282,2.0,3,0.8,0,0.5,3
Tree,200,0.01282,2.0,3,0.8,0,0.5,58
Tree,200,0.01282,2.0,3,0.8,0,0.5,281
Tree,200,0.01282,2.0,3,0.8,0,0.5,32
Tree,200,0.01282,2.0,3,0.8,0,0.5,14
Tree,200,0.01282,2.0,3,0.8,0,0.5,37
Tree,200,0.01282,2.0,3,0.8,0,0.5,243
Tree,200,0.01282,2.0,3,0.8,0,0.5,168
