DataSet,UserModel(lambda),Distance,OperationCount
WattsStrongatz,10,1,47
WattsStrongatz,10,1,1
WattsStrongatz,10,1,28
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,3
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,4
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,3
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,26
WattsStrongatz,10,1,1
WattsStrongatz,10,1,14
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,3
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,3
WattsStrongatz,10,1,2
WattsStrongatz,10,1,2
WattsStrongatz,10,1,26
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,9
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,70
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,3
WattsStrongatz,10,1,2
WattsStrongatz,10,1,28
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,19
WattsStrongatz,10,1,1
WattsStrongatz,10,1,1
WattsStrongatz,10,1,2
