DataSet,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
Tree,1.6,2,0.8,0,12
Tree,1.6,2,0.8,0,9
Tree,1.6,2,0.8,0,36
Tree,1.6,2,0.8,0,229
Tree,1.6,2,0.8,0,316
Tree,1.6,2,0.8,0,154
Tree,1.6,2,0.8,0,7
Tree,1.6,2,0.8,0,281
Tree,1.6,2,0.8,0,38
Tree,1.6,2,0.8,0,494
Tree,1.6,2,0.8,0,190
Tree,1.6,2,0.8,0,452
Tree,1.6,2,0.8,0,500
Tree,1.6,2,0.8,0,254
Tree,1.6,2,0.8,0,171
Tree,1.6,2,0.8,0,255
Tree,1.6,2,0.8,0,544
Tree,1.6,2,0.8,0,350
Tree,1.6,2,0.8,0,499
Tree,1.6,2,0.8,0,453
Tree,1.6,2,0.8,0,996
Tree,1.6,2,0.8,0,4
Tree,1.6,2,0.8,0,137
Tree,1.6,2,0.8,0,117
Tree,1.6,2,0.8,0,207
Tree,1.6,2,0.8,0,83
Tree,1.6,2,0.8,0,277
Tree,1.6,2,0.8,0,303
Tree,1.6,2,0.8,0,772
Tree,1.6,2,0.8,0,112
Tree,1.6,2,0.8,0,19
Tree,1.6,2,0.8,0,231
Tree,1.6,2,0.8,0,304
Tree,1.6,2,0.8,0,585
Tree,1.6,2,0.8,0,650
Tree,1.6,2,0.8,0,55
Tree,1.6,2,0.8,0,506
Tree,1.6,2,0.8,0,813
Tree,1.6,2,0.8,0,745
Tree,1.6,2,0.8,0,481
Tree,1.6,2,0.8,0,142
Tree,1.6,2,0.8,0,417
Tree,1.6,2,0.8,0,8
Tree,1.6,2,0.8,0,872
Tree,1.6,2,0.8,0,894
Tree,1.6,2,0.8,0,97
Tree,1.6,2,0.8,0,659
Tree,1.6,2,0.8,0,1106
Tree,1.6,2,0.8,0,374
Tree,1.6,2,0.8,0,188
Tree,1.6,2,0.8,0,99
Tree,1.6,2,0.8,0,328
Tree,1.6,2,0.8,0,322
Tree,1.6,2,0.8,0,63
Tree,1.6,2,0.8,0,6
Tree,1.6,2,0.8,0,351
Tree,1.6,2,0.8,0,231
Tree,1.6,2,0.8,0,612
Tree,1.6,2,0.8,0,193
Tree,1.6,2,0.8,0,442
Tree,1.6,2,0.8,0,376
Tree,1.6,2,0.8,0,128
Tree,1.6,2,0.8,0,13
Tree,1.6,2,0.8,0,98
Tree,1.6,2,0.8,0,291
Tree,1.6,2,0.8,0,10
Tree,1.6,2,0.8,0,94
Tree,1.6,2,0.8,0,4
Tree,1.6,2,0.8,0,456
Tree,1.6,2,0.8,0,264
Tree,1.6,2,0.8,0,452
Tree,1.6,2,0.8,0,132
Tree,1.6,2,0.8,0,484
Tree,1.6,2,0.8,0,225
Tree,1.6,2,0.8,0,440
Tree,1.6,2,0.8,0,5
Tree,1.6,2,0.8,0,719
Tree,1.6,2,0.8,0,413
Tree,1.6,2,0.8,0,244
Tree,1.6,2,0.8,0,978
