DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
Tree,200,0.01282,1.9,3,0.8,0,1,51
Tree,200,0.01282,1.9,3,0.8,0,1,261
Tree,200,0.01282,1.9,3,0.8,0,1,204
Tree,200,0.01282,1.9,3,0.8,0,1,34
Tree,200,0.01282,1.9,3,0.8,0,1,712
Tree,200,0.01282,1.9,3,0.8,0,1,887
Tree,200,0.01282,1.9,3,0.8,0,1,69
Tree,200,0.01282,1.9,3,0.8,0,1,248
Tree,200,0.01282,1.9,2,0.8,0,1,69
Tree,200,0.01282,1.9,3,0.8,0,1,496
Tree,200,0.01282,1.9,2,0.8,0,1,19
Tree,200,0.01282,1.9,3,0.8,0,1,91
Tree,200,0.01282,1.9,3,0.8,0,1,89
Tree,200,0.01282,1.9,3,0.8,0,1,197
Tree,200,0.01282,1.9,3,0.8,0,1,271
Tree,200,0.01282,1.9,3,0.8,0,1,433
Tree,200,0.01282,1.9,2,0.8,0,1,136
Tree,200,0.01282,1.9,3,0.8,0,1,242
Tree,200,0.01282,1.9,3,0.8,0,1,249
Tree,200,0.01282,1.9,2,0.8,0,1,21
Tree,200,0.01282,1.9,3,0.8,0,1,243
Tree,200,0.01282,1.9,3,0.8,0,1,69
Tree,200,0.01282,1.9,2,0.8,0,1,2
Tree,200,0.01282,1.9,3,0.8,0,1,418
Tree,200,0.01282,1.9,1,0.8,0,1,56
Tree,200,0.01282,1.9,2,0.8,0,1,291
Tree,200,0.01282,1.9,3,0.8,0,1,75
Tree,200,0.01282,1.9,3,0.8,0,1,227
Tree,200,0.01282,1.9,3,0.8,0,1,162
Tree,200,0.01282,1.9,3,0.8,0,1,86
Tree,200,0.01282,1.9,3,0.8,0,1,386
Tree,200,0.01282,1.9,2,0.8,0,1,208
Tree,200,0.01282,1.9,3,0.8,0,1,64
Tree,200,0.01282,1.9,3,0.8,0,1,395
Tree,200,0.01282,1.9,3,0.8,0,1,427
Tree,200,0.01282,1.9,3,0.8,0,1,109
Tree,200,0.01282,1.9,3,0.8,0,1,565
Tree,200,0.01282,1.9,3,0.8,0,1,306
Tree,200,0.01282,1.9,3,0.8,0,1,243
Tree,200,0.01282,1.9,3,0.8,0,1,314
Tree,200,0.01282,1.9,3,0.8,0,1,293
Tree,200,0.01282,1.9,3,0.8,0,1,100
Tree,200,0.01282,1.9,3,0.8,0,1,299
Tree,200,0.01282,1.9,3,0.8,0,1,150
Tree,200,0.01282,1.9,3,0.8,0,1,531
Tree,200,0.01282,1.9,3,0.8,0,1,332
Tree,200,0.01282,1.9,3,0.8,0,1,443
Tree,200,0.01282,1.9,3,0.8,0,1,542
Tree,200,0.01282,1.9,2,0.8,0,1,204
Tree,200,0.01282,1.9,3,0.8,0,1,586
Tree,200,0.01282,1.9,3,0.8,0,1,197
Tree,200,0.01282,1.9,3,0.8,0,1,1028
Tree,200,0.01282,1.9,2,0.8,0,1,269
Tree,200,0.01282,1.9,3,0.8,0,1,150
