DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,351
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,113
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,2039
WattsStrogatz,200,0.02010,10.0,2,0.8,0.1,1,6
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,92
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,242
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,2057
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,15
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,205
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,115
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,151
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,985
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,1443
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,288
WattsStrogatz,200,0.02010,10.0,0,0.8,0.1,1,0
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,181
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,94
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,2326
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,666
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,56
WattsStrogatz,200,0.02010,10.0,-1,0.8,0.1,1,324
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,84
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,64
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,452
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,91
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,66
WattsStrogatz,200,0.02010,10.0,2,0.8,0.1,1,185
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,164
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,49
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,63
WattsStrogatz,200,0.02010,10.0,2,0.8,0.1,1,36
WattsStrogatz,200,0.02010,10.0,2,0.8,0.1,1,69
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,71
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,205
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,17
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,524
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,411
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,114
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,108
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,187
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,273
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,172
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,180
WattsStrogatz,200,0.02010,10.0,-1,0.8,0.1,1,349
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,176
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,87
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,431
WattsStrogatz,200,0.02010,10.0,-1,0.8,0.1,1,708
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,461
WattsStrogatz,200,0.02010,10.0,-1,0.8,0.1,1,70
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,402
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,1036
WattsStrogatz,200,0.02010,10.0,5,0.8,0.1,1,2356
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,220
WattsStrogatz,200,0.02010,10.0,3,0.8,0.1,1,118
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,155
WattsStrogatz,200,0.02010,10.0,4,0.8,0.1,1,214
