DataSet,UserModel(lambda),Distance,OperationCount
WattsStrongatz,10,3,1916
WattsStrongatz,10,3,1548
WattsStrongatz,10,3,944
WattsStrongatz,10,3,542
WattsStrongatz,10,3,274
WattsStrongatz,10,3,414
WattsStrongatz,10,3,854
WattsStrongatz,10,3,559
WattsStrongatz,10,3,803
WattsStrongatz,10,3,8
WattsStrongatz,10,3,2451
WattsStrongatz,10,3,331
WattsStrongatz,10,3,93
WattsStrongatz,10,3,2862
WattsStrongatz,10,3,80
WattsStrongatz,10,3,881
WattsStrongatz,10,3,554
WattsStrongatz,10,3,930
WattsStrongatz,10,3,197
WattsStrongatz,10,3,183
WattsStrongatz,10,3,558
WattsStrongatz,10,3,19
WattsStrongatz,10,3,841
WattsStrongatz,10,3,894
WattsStrongatz,10,3,90
WattsStrongatz,10,3,154
WattsStrongatz,10,3,518
WattsStrongatz,10,3,365
WattsStrongatz,10,3,1086
WattsStrongatz,10,3,474
WattsStrongatz,10,3,169
WattsStrongatz,10,3,2855
WattsStrongatz,10,3,8
WattsStrongatz,10,3,153
WattsStrongatz,10,3,482
WattsStrongatz,10,3,153
WattsStrongatz,10,3,148
WattsStrongatz,10,3,630
WattsStrongatz,10,3,920
WattsStrongatz,10,3,59
WattsStrongatz,10,3,92
WattsStrongatz,10,3,64
WattsStrongatz,10,3,165
WattsStrongatz,10,3,276
WattsStrongatz,10,3,1005
WattsStrongatz,10,3,276
WattsStrongatz,10,3,3
WattsStrongatz,10,3,1915
WattsStrongatz,10,3,1097
WattsStrongatz,10,3,294
WattsStrongatz,10,3,1063
WattsStrongatz,10,3,522
WattsStrongatz,10,3,2014
WattsStrongatz,10,3,458
WattsStrongatz,10,3,589
WattsStrongatz,10,3,2121
WattsStrongatz,10,3,1463
WattsStrongatz,10,3,4249
WattsStrongatz,10,3,338
WattsStrongatz,10,3,498
WattsStrongatz,10,3,1858
WattsStrongatz,10,3,1106
WattsStrongatz,10,3,7
WattsStrongatz,10,3,605
WattsStrongatz,10,3,2448
WattsStrongatz,10,3,268
WattsStrongatz,10,3,2036
WattsStrongatz,10,3,2208
WattsStrongatz,10,3,177
WattsStrongatz,10,3,687
WattsStrongatz,10,3,611
WattsStrongatz,10,3,601
WattsStrongatz,10,3,160
WattsStrongatz,10,3,700
WattsStrongatz,10,3,521
WattsStrongatz,10,3,88
WattsStrongatz,10,3,1698
WattsStrongatz,10,3,2187
WattsStrongatz,10,3,593
WattsStrongatz,10,3,1300
WattsStrongatz,10,3,69
WattsStrongatz,10,3,2008
WattsStrongatz,10,3,4084
WattsStrongatz,10,3,572
WattsStrongatz,10,3,250
WattsStrongatz,10,3,106
WattsStrongatz,10,3,279
WattsStrongatz,10,3,1993
WattsStrongatz,10,3,210
WattsStrongatz,10,3,930
WattsStrongatz,10,3,184
WattsStrongatz,10,3,362
WattsStrongatz,10,3,95
WattsStrongatz,10,3,311
WattsStrongatz,10,3,2859
WattsStrongatz,10,3,534
WattsStrongatz,10,3,894
WattsStrongatz,10,3,944
WattsStrongatz,10,3,265
WattsStrongatz,10,3,646
