DataSet,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
WattsStrogatz,1.7,4,0.8,0,412
WattsStrogatz,1.7,4,0.8,0,37
WattsStrogatz,1.7,4,0.8,0,70
WattsStrogatz,1.7,4,0.8,0,36
WattsStrogatz,1.7,4,0.8,0,208
WattsStrogatz,1.7,4,0.8,0,24
WattsStrogatz,1.7,4,0.8,0,280
WattsStrogatz,1.7,4,0.8,0,248
WattsStrogatz,1.7,4,0.8,0,942
WattsStrogatz,1.7,4,0.8,0,354
WattsStrogatz,1.7,4,0.8,0,11
WattsStrogatz,1.7,4,0.8,0,145
WattsStrogatz,1.7,4,0.8,0,22
WattsStrogatz,1.7,4,0.8,0,171
WattsStrogatz,1.7,4,0.8,0,587
WattsStrogatz,1.7,4,0.8,0,523
WattsStrogatz,1.7,4,0.8,0,546
WattsStrogatz,1.7,4,0.8,0,169
WattsStrogatz,1.7,4,0.8,0,484
WattsStrogatz,1.7,4,0.8,0,323
WattsStrogatz,1.7,4,0.8,0,4
WattsStrogatz,1.7,4,0.8,0,1198
WattsStrogatz,1.7,4,0.8,0,277
WattsStrogatz,1.7,4,0.8,0,107
WattsStrogatz,1.7,4,0.8,0,6
WattsStrogatz,1.7,4,0.8,0,166
WattsStrogatz,1.7,4,0.8,0,356
WattsStrogatz,1.7,4,0.8,0,338
WattsStrogatz,1.7,4,0.8,0,83
WattsStrogatz,1.7,4,0.8,0,164
WattsStrogatz,1.7,4,0.8,0,338
WattsStrogatz,1.7,4,0.8,0,286
WattsStrogatz,1.7,4,0.8,0,219
WattsStrogatz,1.7,4,0.8,0,191
WattsStrogatz,1.7,4,0.8,0,8
WattsStrogatz,1.7,4,0.8,0,599
WattsStrogatz,1.7,4,0.8,0,490
WattsStrogatz,1.7,4,0.8,0,765
WattsStrogatz,1.7,4,0.8,0,625
WattsStrogatz,1.7,4,0.8,0,322
WattsStrogatz,1.7,4,0.8,0,213
WattsStrogatz,1.7,4,0.8,0,244
WattsStrogatz,1.7,4,0.8,0,149
WattsStrogatz,1.7,4,0.8,0,240
WattsStrogatz,1.7,4,0.8,0,642
WattsStrogatz,1.7,4,0.8,0,260
WattsStrogatz,1.7,4,0.8,0,234
WattsStrogatz,1.7,4,0.8,0,12
WattsStrogatz,1.7,4,0.8,0,783
WattsStrogatz,1.7,4,0.8,0,215
WattsStrogatz,1.7,4,0.8,0,622
WattsStrogatz,1.7,4,0.8,0,685
WattsStrogatz,1.7,4,0.8,0,106
WattsStrogatz,1.7,4,0.8,0,828
WattsStrogatz,1.7,4,0.8,0,551
WattsStrogatz,1.7,4,0.8,0,204
WattsStrogatz,1.7,4,0.8,0,598
WattsStrogatz,1.7,4,0.8,0,31
WattsStrogatz,1.7,4,0.8,0,418
WattsStrogatz,1.7,4,0.8,0,606
WattsStrogatz,1.7,4,0.8,0,461
WattsStrogatz,1.7,4,0.8,0,83
WattsStrogatz,1.7,4,0.8,0,381
WattsStrogatz,1.7,4,0.8,0,720
WattsStrogatz,1.7,4,0.8,0,360
WattsStrogatz,1.7,4,0.8,0,435
WattsStrogatz,1.7,4,0.8,0,56
WattsStrogatz,1.7,4,0.8,0,438
WattsStrogatz,1.7,4,0.8,0,275
WattsStrogatz,1.7,4,0.8,0,55
WattsStrogatz,1.7,4,0.8,0,11
WattsStrogatz,1.7,4,0.8,0,519
WattsStrogatz,1.7,4,0.8,0,437
WattsStrogatz,1.7,4,0.8,0,20
WattsStrogatz,1.7,4,0.8,0,595
WattsStrogatz,1.7,4,0.8,0,144
WattsStrogatz,1.7,4,0.8,0,787
WattsStrogatz,1.7,4,0.8,0,19
WattsStrogatz,1.7,4,0.8,0,160
WattsStrogatz,1.7,4,0.8,0,440
WattsStrogatz,1.7,4,0.8,0,57
WattsStrogatz,1.7,4,0.8,0,256
WattsStrogatz,1.7,4,0.8,0,408
WattsStrogatz,1.7,4,0.8,0,132
WattsStrogatz,1.7,4,0.8,0,113
WattsStrogatz,1.7,4,0.8,0,961
WattsStrogatz,1.7,4,0.8,0,400
WattsStrogatz,1.7,4,0.8,0,505
WattsStrogatz,1.7,4,0.8,0,7
WattsStrogatz,1.7,4,0.8,0,315
WattsStrogatz,1.7,4,0.8,0,319
WattsStrogatz,1.7,4,0.8,0,60
WattsStrogatz,1.7,4,0.8,0,680
WattsStrogatz,1.7,4,0.8,0,196
WattsStrogatz,1.7,4,0.8,0,39
WattsStrogatz,1.7,4,0.8,0,403
WattsStrogatz,1.7,4,0.8,0,237
WattsStrogatz,1.7,4,0.8,0,200
WattsStrogatz,1.7,4,0.8,0,507
WattsStrogatz,1.7,4,0.8,0,508
WattsStrogatz,1.7,4,0.8,0,304
WattsStrogatz,1.7,4,0.8,0,303
WattsStrogatz,1.7,4,0.8,0,415
WattsStrogatz,1.7,4,0.8,0,77
WattsStrogatz,1.7,4,0.8,0,666
WattsStrogatz,1.7,4,0.8,0,518
WattsStrogatz,1.7,4,0.8,0,163
WattsStrogatz,1.7,4,0.8,0,255
WattsStrogatz,1.7,4,0.8,0,389
WattsStrogatz,1.7,4,0.8,0,579
WattsStrogatz,1.7,4,0.8,0,205
WattsStrogatz,1.7,4,0.8,0,11
WattsStrogatz,1.7,4,0.8,0,72
