DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
WattsStrogatz,0.03015,1.2,3,0.8,0,5,65
WattsStrogatz,0.03015,1.2,3,0.8,0,5,64
WattsStrogatz,0.03015,1.2,3,0.8,0,5,47
WattsStrogatz,0.03015,1.2,3,0.8,0,5,109
WattsStrogatz,0.03015,1.2,3,0.8,0,5,65
WattsStrogatz,0.03015,1.2,3,0.8,0,5,70
WattsStrogatz,0.03015,1.2,3,0.8,0,5,73
WattsStrogatz,0.03015,1.2,3,0.8,0,5,145
WattsStrogatz,0.03015,1.2,3,0.8,0,5,84
WattsStrogatz,0.03015,1.2,3,0.8,0,5,5
WattsStrogatz,0.03015,1.2,3,0.8,0,5,144
WattsStrogatz,0.03015,1.2,3,0.8,0,5,10
WattsStrogatz,0.03015,1.2,3,0.8,0,5,17
WattsStrogatz,0.03015,1.2,3,0.8,0,5,41
WattsStrogatz,0.03015,1.2,3,0.8,0,5,26
WattsStrogatz,0.03015,1.2,3,0.8,0,5,41
WattsStrogatz,0.03015,1.2,3,0.8,0,5,5
WattsStrogatz,0.03015,1.2,3,0.8,0,5,30
WattsStrogatz,0.03015,1.2,3,0.8,0,5,58
WattsStrogatz,0.03015,1.2,3,0.8,0,5,8
WattsStrogatz,0.03015,1.2,3,0.8,0,5,35
WattsStrogatz,0.03015,1.2,3,0.8,0,5,77
WattsStrogatz,0.03015,1.2,3,0.8,0,5,161
WattsStrogatz,0.03015,1.2,3,0.8,0,5,154
WattsStrogatz,0.03015,1.2,3,0.8,0,5,167
WattsStrogatz,0.03015,1.2,3,0.8,0,5,80
WattsStrogatz,0.03015,1.2,3,0.8,0,5,109
WattsStrogatz,0.03015,1.2,3,0.8,0,5,45
WattsStrogatz,0.03015,1.2,3,0.8,0,5,28
WattsStrogatz,0.03015,1.2,3,0.8,0,5,152
WattsStrogatz,0.03015,1.2,3,0.8,0,5,91
WattsStrogatz,0.03015,1.2,3,0.8,0,5,10
WattsStrogatz,0.03015,1.2,3,0.8,0,5,105
WattsStrogatz,0.03015,1.2,3,0.8,0,5,38
WattsStrogatz,0.03015,1.2,3,0.8,0,5,8
WattsStrogatz,0.03015,1.2,3,0.8,0,5,23
WattsStrogatz,0.03015,1.2,3,0.8,0,5,154
WattsStrogatz,0.03015,1.2,3,0.8,0,5,74
WattsStrogatz,0.03015,1.2,3,0.8,0,5,69
WattsStrogatz,0.03015,1.2,3,0.8,0,5,50
WattsStrogatz,0.03015,1.2,3,0.8,0,5,9
WattsStrogatz,0.03015,1.2,3,0.8,0,5,74
WattsStrogatz,0.03015,1.2,3,0.8,0,5,97
WattsStrogatz,0.03015,1.2,3,0.8,0,5,12
WattsStrogatz,0.03015,1.2,3,0.8,0,5,114
WattsStrogatz,0.03015,1.2,3,0.8,0,5,98
WattsStrogatz,0.03015,1.2,3,0.8,0,5,30
WattsStrogatz,0.03015,1.2,3,0.8,0,5,24
WattsStrogatz,0.03015,1.2,3,0.8,0,5,77
WattsStrogatz,0.03015,1.2,3,0.8,0,5,7
WattsStrogatz,0.03015,1.2,3,0.8,0,5,9
WattsStrogatz,0.03015,1.2,3,0.8,0,5,25
WattsStrogatz,0.03015,1.2,3,0.8,0,5,34
WattsStrogatz,0.03015,1.2,3,0.8,0,5,110
WattsStrogatz,0.03015,1.2,3,0.8,0,5,2
WattsStrogatz,0.03015,1.2,3,0.8,0,5,20
WattsStrogatz,0.03015,1.2,3,0.8,0,5,25
WattsStrogatz,0.03015,1.2,3,0.8,0,5,16
WattsStrogatz,0.03015,1.2,3,0.8,0,5,18
WattsStrogatz,0.03015,1.2,3,0.8,0,5,38
WattsStrogatz,0.03015,1.2,3,0.8,0,5,123
WattsStrogatz,0.03015,1.2,3,0.8,0,5,50
WattsStrogatz,0.03015,1.2,3,0.8,0,5,86
WattsStrogatz,0.03015,1.2,3,0.8,0,5,41
WattsStrogatz,0.03015,1.2,3,0.8,0,5,75
WattsStrogatz,0.03015,1.2,3,0.8,0,5,3
WattsStrogatz,0.03015,1.2,3,0.8,0,5,183
WattsStrogatz,0.03015,1.2,3,0.8,0,5,84
WattsStrogatz,0.03015,1.2,3,0.8,0,5,87
WattsStrogatz,0.03015,1.2,3,0.8,0,5,18
WattsStrogatz,0.03015,1.2,3,0.8,0,5,29
WattsStrogatz,0.03015,1.2,3,0.8,0,5,213
WattsStrogatz,0.03015,1.2,3,0.8,0,5,27
WattsStrogatz,0.03015,1.2,3,0.8,0,5,157
WattsStrogatz,0.03015,1.2,3,0.8,0,5,95
WattsStrogatz,0.03015,1.2,3,0.8,0,5,60
WattsStrogatz,0.03015,1.2,3,0.8,0,5,6
WattsStrogatz,0.03015,1.2,3,0.8,0,5,41
WattsStrogatz,0.03015,1.2,3,0.8,0,5,139
WattsStrogatz,0.03015,1.2,3,0.8,0,5,52
WattsStrogatz,0.03015,1.2,3,0.8,0,5,2
WattsStrogatz,0.03015,1.2,3,0.8,0,5,24
WattsStrogatz,0.03015,1.2,3,0.8,0,5,68
WattsStrogatz,0.03015,1.2,3,0.8,0,5,8
WattsStrogatz,0.03015,1.2,3,0.8,0,5,58
WattsStrogatz,0.03015,1.2,3,0.8,0,5,8
WattsStrogatz,0.03015,1.2,3,0.8,0,5,144
WattsStrogatz,0.03015,1.2,3,0.8,0,5,106
WattsStrogatz,0.03015,1.2,3,0.8,0,5,129
WattsStrogatz,0.03015,1.2,3,0.8,0,5,92
WattsStrogatz,0.03015,1.2,3,0.8,0,5,251
WattsStrogatz,0.03015,1.2,3,0.8,0,5,189
WattsStrogatz,0.03015,1.2,3,0.8,0,5,212
WattsStrogatz,0.03015,1.2,3,0.8,0,5,101
WattsStrogatz,0.03015,1.2,3,0.8,0,5,25
WattsStrogatz,0.03015,1.2,3,0.8,0,5,38
WattsStrogatz,0.03015,1.2,3,0.8,0,5,190
WattsStrogatz,0.03015,1.2,3,0.8,0,5,178
WattsStrogatz,0.03015,1.2,3,0.8,0,5,58
WattsStrogatz,0.03015,1.2,3,0.8,0,5,31
WattsStrogatz,0.03015,1.2,3,0.8,0,5,100
WattsStrogatz,0.03015,1.2,3,0.8,0,5,5
WattsStrogatz,0.03015,1.2,3,0.8,0,5,137
WattsStrogatz,0.03015,1.2,3,0.8,0,5,73
WattsStrogatz,0.03015,1.2,3,0.8,0,5,60
WattsStrogatz,0.03015,1.2,3,0.8,0,5,6
WattsStrogatz,0.03015,1.2,3,0.8,0,5,93
WattsStrogatz,0.03015,1.2,3,0.8,0,5,88
WattsStrogatz,0.03015,1.2,3,0.8,0,5,208
WattsStrogatz,0.03015,1.2,3,0.8,0,5,31
WattsStrogatz,0.03015,1.2,3,0.8,0,5,106
WattsStrogatz,0.03015,1.2,3,0.8,0,5,159
WattsStrogatz,0.03015,1.2,3,0.8,0,5,43
WattsStrogatz,0.03015,1.2,3,0.8,0,5,7
WattsStrogatz,0.03015,1.2,3,0.8,0,5,279
WattsStrogatz,0.03015,1.2,3,0.8,0,5,4
WattsStrogatz,0.03015,1.2,3,0.8,0,5,103
WattsStrogatz,0.03015,1.2,3,0.8,0,5,32
WattsStrogatz,0.03015,1.2,3,0.8,0,5,96
