DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,54
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,19
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,50
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,28
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,2
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,54
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,30
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,184
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,21
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,41
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,99
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,20
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,7
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,54
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,42
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,56
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,11
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,15
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,107
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,12
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,95
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,8
BarabasiAlbert,200,1,0.02985,10.0,1,0.8,0.1,1,1
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,66
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,20
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,13
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,18
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,17
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,32
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,11
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,10
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,62
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,93
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,101
BarabasiAlbert,200,1,0.02985,10.0,1,0.8,0.1,1,1
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,7
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,11
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,18
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,2
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,19
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,16
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,25
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,57
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,31
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,11
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,16
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,90
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,3
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,47
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,4
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,76
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,15
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,56
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,9
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,3
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,23
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,16
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,15
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,5
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,2
BarabasiAlbert,200,1,0.02985,10.0,2,0.8,0.1,1,8
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,63
BarabasiAlbert,200,1,0.02985,10.0,3,0.8,0.1,1,84
