DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,36
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,138
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,2
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,148
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,1
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,4
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,7
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,66
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,71
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,175
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,76
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,307
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,74
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,26
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,105
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,107
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,1
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,88
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,19
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,8
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,86
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,84
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,214
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,8
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,27
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,31
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,87
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,151
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,120
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,99
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,20
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,52
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,231
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,84
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,20
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,234
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,38
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,39
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,106
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,60
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,30
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,2
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,58
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,34
Tree,200,1,0.01282,1.4,0,0.8,0,0.5,32
