DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,54
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,8
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,131
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,29
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,70
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,14
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,18
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,121
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,27
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,5
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,5
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,26
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,2
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,37
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,22
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,27
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,28
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,13
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,13
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,30
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,17
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,14
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,174
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,6
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,5
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,5
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,32
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,134
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,18
Tree,200,1,0.01282,-2.5,1,0.8,0,0.75,3
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,17
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,18
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,41
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,67
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,34
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,3
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,21
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,14
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,8
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,10
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,58
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,79
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,34
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,18
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,34
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,20
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,9
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,46
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,18
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,47
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,43
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,158
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,65
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,49
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,24
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,19
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,8
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,6
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,1
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,7
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,14
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,40
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,30
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,41
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,25
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,11
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,117
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,74
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,100
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,71
Tree,200,1,0.01282,-2.5,2,0.8,0,0.75,41
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,62
Tree,200,1,0.01282,-2.5,3,0.8,0,0.75,1
