DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,69
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,13
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,28
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,3
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,22
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,18
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,4
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,9
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,63
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,27
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,93
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,12
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,28
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,26
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,3
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,7
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,2
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,91
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,44
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,3
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,16
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,3,0.8,0,0.75,1
WattsStrogatz,200,1,0.02010,-0.1,2,0.8,0,0.75,1
