DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,13
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,70
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,30
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,106
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,18
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,127
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,5
BarabasiAlbert,200,1,0.04950,1.9,1,0.8,0,0.25,1
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,30
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,56
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,49
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,193
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,116
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,8
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,19
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,207
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,18
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,103
BarabasiAlbert,200,1,0.04950,1.9,1,0.8,0,0.25,165
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,39
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,50
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,82
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,167
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,10
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,10
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,58
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,119
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,65
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,25
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,14
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,96
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,9
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,69
BarabasiAlbert,200,1,0.04950,1.9,1,0.8,0,0.25,7
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,115
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,199
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,12
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,121
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,29
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,41
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,5
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,254
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,27
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,38
BarabasiAlbert,200,1,0.04950,1.9,4,0.8,0,0.25,73
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,17
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,35
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,2
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,31
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,1
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,108
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,30
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,92
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,90
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,127
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,38
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,6
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,9
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,44
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,23
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,127
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,3
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,31
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,61
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,18
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,41
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,4
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,162
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,33
BarabasiAlbert,200,1,0.04950,1.9,2,0.8,0,0.25,1
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,19
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,4
BarabasiAlbert,200,1,0.04950,1.9,3,0.8,0,0.25,42
