DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,1,0.05025,-1.3,1,0.8,0,0.25,10
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,79
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,22
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,4
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,101
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,76
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,37
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,15
WattsStrogatz,200,1,0.05025,-1.3,-1,0.8,0,0.25,15
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,16
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,14
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,24
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,33
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,2
WattsStrogatz,200,1,0.05025,-1.3,2,0.8,0,0.25,6
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,33
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,14
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,1
WattsStrogatz,200,1,0.05025,-1.3,2,0.8,0,0.25,90
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,31
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,12
WattsStrogatz,200,1,0.05025,-1.3,1,0.8,0,0.25,2
WattsStrogatz,200,1,0.05025,-1.3,2,0.8,0,0.25,43
WattsStrogatz,200,1,0.05025,-1.3,2,0.8,0,0.25,27
WattsStrogatz,200,1,0.05025,-1.3,2,0.8,0,0.25,19
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,5
WattsStrogatz,200,1,0.05025,-1.3,2,0.8,0,0.25,7
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,38
WattsStrogatz,200,1,0.05025,-1.3,-1,0.8,0,0.25,50
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,12
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,1
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,2
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,20
WattsStrogatz,200,1,0.05025,-1.3,4,0.8,0,0.25,8
WattsStrogatz,200,1,0.05025,-1.3,3,0.8,0,0.25,10
