DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,61
WattsStrogatz,200,1,0.05025,0.7,-1,0.8,0,0.25,7
WattsStrogatz,200,1,0.05025,0.7,-1,0.8,0,0.25,13
WattsStrogatz,200,1,0.05025,0.7,1,0.8,0,0.25,40
WattsStrogatz,200,1,0.05025,0.7,2,0.8,0,0.25,14
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,63
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,96
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,5
WattsStrogatz,200,1,0.05025,0.7,-1,0.8,0,0.25,62
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,56
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,66
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,36
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,2
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,41
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,15
WattsStrogatz,200,1,0.05025,0.7,1,0.8,0,0.25,48
WattsStrogatz,200,1,0.05025,0.7,1,0.8,0,0.25,7
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,15
WattsStrogatz,200,1,0.05025,0.7,-1,0.8,0,0.25,23
WattsStrogatz,200,1,0.05025,0.7,-1,0.8,0,0.25,75
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,57
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,65
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,15
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,24
WattsStrogatz,200,1,0.05025,0.7,2,0.8,0,0.25,138
WattsStrogatz,200,1,0.05025,0.7,2,0.8,0,0.25,30
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,57
WattsStrogatz,200,1,0.05025,0.7,2,0.8,0,0.25,23
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,40
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,171
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,1
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,191
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,4
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,35
WattsStrogatz,200,1,0.05025,0.7,-1,0.8,0,0.25,93
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,3
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,10
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,27
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,32
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,112
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,107
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,40
WattsStrogatz,200,1,0.05025,0.7,2,0.8,0,0.25,35
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,10
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,68
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,63
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,10
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,32
WattsStrogatz,200,1,0.05025,0.7,2,0.8,0,0.25,56
WattsStrogatz,200,1,0.05025,0.7,3,0.8,0,0.25,86
WattsStrogatz,200,1,0.05025,0.7,4,0.8,0,0.25,160
