DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,180
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,89
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,290
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,214
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,155
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,147
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,106
Tree,200,5,0.01282,-0.5,2.4,0.8,0,0.25,30
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,219
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,193
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,130
Tree,200,5,0.01282,-0.5,2,0.8,0,0.25,180
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,121
Tree,200,5,0.01282,-0.5,2.4,0.8,0,0.25,285
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,153
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,301
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,108
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,177
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,191
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,164
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,196
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,69
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,158
Tree,200,5,0.01282,-0.5,2.4,0.8,0,0.25,58
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,67
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,244
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,138
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,303
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,225
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,102
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,74
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,104
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,161
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,65
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,112
Tree,200,5,0.01282,-0.5,2.4,0.8,0,0.25,42
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,210
Tree,200,5,0.01282,-0.5,2.4,0.8,0,0.25,78
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,61
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,172
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,123
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,223
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,201
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,99
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,151
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,145
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,116
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,119
Tree,200,5,0.01282,-0.5,2.4,0.8,0,0.25,70
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,152
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,90
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,95
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,65
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,411
Tree,200,5,0.01282,-0.5,2.2,0.8,0,0.25,20
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,248
Tree,200,5,0.01282,-0.5,2.8,0.8,0,0.25,151
Tree,200,5,0.01282,-0.5,2.6,0.8,0,0.25,105
Tree,200,5,0.01282,-0.5,3,0.8,0,0.25,254
