DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,5,0.04020,-1.9,0.4,0.8,0,0.25,90
WattsStrogatz,200,5,0.04020,-1.9,1,0.8,0,0.25,42
WattsStrogatz,200,5,0.04020,-1.9,-0.4,0.8,0,0.25,101
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,49
WattsStrogatz,200,5,0.04020,-1.9,0,0.8,0,0.25,130
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,25
WattsStrogatz,200,5,0.04020,-1.9,-0.4,0.8,0,0.25,61
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,36
WattsStrogatz,200,5,0.04020,-1.9,2.8,0.8,0,0.25,44
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,109
WattsStrogatz,200,5,0.04020,-1.9,-0.6,0.8,0,0.25,125
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,102
WattsStrogatz,200,5,0.04020,-1.9,0.4,0.8,0,0.25,154
WattsStrogatz,200,5,0.04020,-1.9,1,0.8,0,0.25,64
WattsStrogatz,200,5,0.04020,-1.9,0.8,0.8,0,0.25,144
WattsStrogatz,200,5,0.04020,-1.9,0.2,0.8,0,0.25,122
WattsStrogatz,200,5,0.04020,-1.9,0.4,0.8,0,0.25,70
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,175
WattsStrogatz,200,5,0.04020,-1.9,1.4,0.8,0,0.25,55
WattsStrogatz,200,5,0.04020,-1.9,-0.4,0.8,0,0.25,81
WattsStrogatz,200,5,0.04020,-1.9,-0.4,0.8,0,0.25,79
WattsStrogatz,200,5,0.04020,-1.9,1,0.8,0,0.25,32
WattsStrogatz,200,5,0.04020,-1.9,-0.6,0.8,0,0.25,161
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,52
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,48
WattsStrogatz,200,5,0.04020,-1.9,1.2,0.8,0,0.25,80
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,130
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,105
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,35
WattsStrogatz,200,5,0.04020,-1.9,-0.4,0.8,0,0.25,105
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,158
WattsStrogatz,200,5,0.04020,-1.9,0.2,0.8,0,0.25,84
WattsStrogatz,200,5,0.04020,-1.9,-0.4,0.8,0,0.25,196
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,65
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,129
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,35
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,170
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,73
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,77
WattsStrogatz,200,5,0.04020,-1.9,-0.2,0.8,0,0.25,30
WattsStrogatz,200,5,0.04020,-1.9,0.8,0.8,0,0.25,48
WattsStrogatz,200,5,0.04020,-1.9,2.2,0.8,0,0.25,61
WattsStrogatz,200,5,0.04020,-1.9,2.2,0.8,0,0.25,46
WattsStrogatz,200,5,0.04020,-1.9,0.4,0.8,0,0.25,31
WattsStrogatz,200,5,0.04020,-1.9,0.6,0.8,0,0.25,50
