DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,141
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,283
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,388
Tree,200,5,0.01282,0.8,1.8,0.8,0,0.5,87
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,263
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,164
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,122
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,310
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,240
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,336
Tree,200,5,0.01282,0.8,2.4,0.8,0,0.5,150
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,194
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,105
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,71
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,172
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,135
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,137
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,236
Tree,200,5,0.01282,0.8,2.4,0.8,0,0.5,74
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,133
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,182
Tree,200,5,0.01282,0.8,2.4,0.8,0,0.5,51
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,114
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,214
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,138
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,118
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,287
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,149
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,41
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,262
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,164
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,124
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,99
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,158
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,193
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,56
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,198
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,129
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,93
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,166
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,63
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,230
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,137
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,220
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,44
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,143
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,190
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,133
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,123
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,127
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,125
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,264
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,125
Tree,200,5,0.01282,0.8,2.2,0.8,0,0.5,52
Tree,200,5,0.01282,0.8,2.4,0.8,0,0.5,226
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,100
Tree,200,5,0.01282,0.8,2,0.8,0,0.5,157
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,265
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,178
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,127
Tree,200,5,0.01282,0.8,1.6,0.8,0,0.5,59
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,237
Tree,200,5,0.01282,0.8,2.2,0.8,0,0.5,154
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,140
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,64
Tree,200,5,0.01282,0.8,2.4,0.8,0,0.5,58
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,54
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,139
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,165
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,168
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,112
Tree,200,5,0.01282,0.8,3,0.8,0,0.5,224
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,101
Tree,200,5,0.01282,0.8,2.8,0.8,0,0.5,223
Tree,200,5,0.01282,0.8,2.6,0.8,0,0.5,222
