DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,133
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,115
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,162
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,36
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,73
WattsStrogatz,200,5,0.03015,0.1,0.2,0.8,0,0.5,25
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,30
WattsStrogatz,200,5,0.03015,0.1,1,0.8,0,0.5,37
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,55
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,59
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,78
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,37
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,39
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,111
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,63
WattsStrogatz,200,5,0.03015,0.1,-0.6,0.8,0,0.5,51
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,68
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,134
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,68
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,40
WattsStrogatz,200,5,0.03015,0.1,1.2,0.8,0,0.5,23
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,43
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,81
WattsStrogatz,200,5,0.03015,0.1,0.4,0.8,0,0.5,75
WattsStrogatz,200,5,0.03015,0.1,0.4,0.8,0,0.5,47
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,39
WattsStrogatz,200,5,0.03015,0.1,2.6,0.8,0,0.5,12
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,93
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,57
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,40
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,44
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,44
WattsStrogatz,200,5,0.03015,0.1,1.8,0.8,0,0.5,80
WattsStrogatz,200,5,0.03015,0.1,0.4,0.8,0,0.5,34
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,72
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,43
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,50
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,68
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,136
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,71
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,67
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,32
WattsStrogatz,200,5,0.03015,0.1,1.4,0.8,0,0.5,55
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,19
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,75
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,213
WattsStrogatz,200,5,0.03015,0.1,0.6,0.8,0,0.5,22
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,155
WattsStrogatz,200,5,0.03015,0.1,0.2,0.8,0,0.5,76
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,27
WattsStrogatz,200,5,0.03015,0.1,-0.6,0.8,0,0.5,122
WattsStrogatz,200,5,0.03015,0.1,1.2,0.8,0,0.5,30
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,44
WattsStrogatz,200,5,0.03015,0.1,-0.6,0.8,0,0.5,49
WattsStrogatz,200,5,0.03015,0.1,1.4,0.8,0,0.5,36
WattsStrogatz,200,5,0.03015,0.1,-0.4,0.8,0,0.5,49
WattsStrogatz,200,5,0.03015,0.1,-0.6,0.8,0,0.5,68
WattsStrogatz,200,5,0.03015,0.1,1.4,0.8,0,0.5,28
WattsStrogatz,200,5,0.03015,0.1,-0.2,0.8,0,0.5,67
WattsStrogatz,200,5,0.03015,0.1,0,0.8,0,0.5,132
WattsStrogatz,200,5,0.03015,0.1,1.4,0.8,0,0.5,38
WattsStrogatz,200,5,0.03015,0.1,1.6,0.8,0,0.5,34
WattsStrogatz,200,5,0.03015,0.1,1.2,0.8,0,0.5,104
WattsStrogatz,200,5,0.03015,0.1,-0.6,0.8,0,0.5,60
WattsStrogatz,200,5,0.03015,0.1,0.2,0.8,0,0.5,45
