DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,76
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,191
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,89
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,161
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,34
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,66
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,140
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,48
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,54
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,138
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,53
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,136
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,90
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,189
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,31
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,63
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,129
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,81
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,66
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,60
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,108
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,43
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,60
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,79
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,46
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,71
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,51
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,190
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,183
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,56
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,120
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,64
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,126
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,41
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,124
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,107
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,66
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,92
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,56
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,54
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,67
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,119
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,50
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,107
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,115
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,105
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,89
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,121
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,101
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,87
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,118
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,136
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,46
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,34
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,39
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,65
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,73
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,39
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,50
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,76
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,120
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,49
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,79
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,81
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,80
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,49
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,56
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,164
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,48
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,111
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,91
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,48
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,37
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,68
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,63
WattsStrogatz,200,5,0.06030,10.0,0,0.8,0.1,1,41
