DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,150
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,209
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,226
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,178
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,163
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,201
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,140
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,217
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,193
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,236
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,113
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,84
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,169
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,204
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,448
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,403
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,329
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,192
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,245
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,328
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,176
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,200
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,106
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,165
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,260
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,204
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,174
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,106
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,137
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,118
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,205
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,168
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,156
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,161
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,356
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,228
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,83
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,174
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,43
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,220
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,148
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,95
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,196
Tree,200,5,0.01282,1.0,0,0.8,0,0.25,180
