DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,34
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,27
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,39
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,40
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,22
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,56
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,54
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,71
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,93
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,41
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,112
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,69
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,31
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,21
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,31
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,27
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,49
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,29
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,19
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,23
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,65
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,52
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,25
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,21
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,20
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,42
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,50
BarabasiAlbert,200,5,0.04950,-0.4,0,0.8,0,0.75,77
