DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,5,0.03015,-3.0,2.6,0.8,0,0,49
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,1
WattsStrogatz,200,5,0.03015,-3.0,3.8,0.8,0,0,28
WattsStrogatz,200,5,0.03015,-3.0,2.8,0.8,0,0,19
WattsStrogatz,200,5,0.03015,-3.0,3,0.8,0,0,128
WattsStrogatz,200,5,0.03015,-3.0,2.8,0.8,0,0,102
WattsStrogatz,200,5,0.03015,-3.0,3,0.8,0,0,113
WattsStrogatz,200,5,0.03015,-3.0,3.8,0.8,0,0,19
WattsStrogatz,200,5,0.03015,-3.0,2.4,0.8,0,0,3
WattsStrogatz,200,5,0.03015,-3.0,3.6,0.8,0,0,50
WattsStrogatz,200,5,0.03015,-3.0,3.4,0.8,0,0,83
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,111
WattsStrogatz,200,5,0.03015,-3.0,3,0.8,0,0,10
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,40
WattsStrogatz,200,5,0.03015,-3.0,3.4,0.8,0,0,29
WattsStrogatz,200,5,0.03015,-3.0,3.4,0.8,0,0,87
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,22
WattsStrogatz,200,5,0.03015,-3.0,3.8,0.8,0,0,37
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,55
WattsStrogatz,200,5,0.03015,-3.0,2.8,0.8,0,0,22
WattsStrogatz,200,5,0.03015,-3.0,3,0.8,0,0,46
WattsStrogatz,200,5,0.03015,-3.0,3.8,0.8,0,0,20
WattsStrogatz,200,5,0.03015,-3.0,3.4,0.8,0,0,71
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,105
WattsStrogatz,200,5,0.03015,-3.0,3,0.8,0,0,2
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,2
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,170
WattsStrogatz,200,5,0.03015,-3.0,3.2,0.8,0,0,62
WattsStrogatz,200,5,0.03015,-3.0,3.4,0.8,0,0,20
WattsStrogatz,200,5,0.03015,-3.0,3.6,0.8,0,0,39
WattsStrogatz,200,5,0.03015,-3.0,2.8,0.8,0,0,2
WattsStrogatz,200,5,0.03015,-3.0,3,0.8,0,0,68
WattsStrogatz,200,5,0.03015,-3.0,3.4,0.8,0,0,2
WattsStrogatz,200,5,0.03015,-3.0,3.4,0.8,0,0,27
