DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,11
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,21
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,14
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,7
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,30
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,16
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,12
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,5
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,1
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,9
BarabasiAlbert,200,1,0.02985,-2.1,1,0.8,0,1,8
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,4
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,13
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,21
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,1
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,1
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,13
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,11
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,37
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,6
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,18
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,8
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,1
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,10
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,14
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,10
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,4
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,6
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,6
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,7
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,12
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,6
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,10
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,9
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,8
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,1
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,2
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,1
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,6
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,1
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,7
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,5
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,30
BarabasiAlbert,200,1,0.02985,-2.1,2,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,3,0.8,0,1,3
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,7
BarabasiAlbert,200,1,0.02985,-2.1,4,0.8,0,1,22
