DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,1,0.01282,-1.4,3,0.8,0,1,43
Tree,200,1,0.01282,-1.4,3,0.8,0,1,3
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,10
Tree,200,1,0.01282,-1.4,3,0.8,0,1,45
Tree,200,1,0.01282,-1.4,3,0.8,0,1,8
Tree,200,1,0.01282,-1.4,3,0.8,0,1,106
Tree,200,1,0.01282,-1.4,2,0.8,0,1,3
Tree,200,1,0.01282,-1.4,3,0.8,0,1,36
Tree,200,1,0.01282,-1.4,3,0.8,0,1,7
Tree,200,1,0.01282,-1.4,2,0.8,0,1,10
Tree,200,1,0.01282,-1.4,3,0.8,0,1,5
Tree,200,1,0.01282,-1.4,3,0.8,0,1,9
Tree,200,1,0.01282,-1.4,1,0.8,0,1,4
Tree,200,1,0.01282,-1.4,3,0.8,0,1,96
Tree,200,1,0.01282,-1.4,3,0.8,0,1,16
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,21
Tree,200,1,0.01282,-1.4,3,0.8,0,1,31
Tree,200,1,0.01282,-1.4,1,0.8,0,1,2
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,5
Tree,200,1,0.01282,-1.4,3,0.8,0,1,11
Tree,200,1,0.01282,-1.4,3,0.8,0,1,51
Tree,200,1,0.01282,-1.4,3,0.8,0,1,115
Tree,200,1,0.01282,-1.4,2,0.8,0,1,17
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,16
Tree,200,1,0.01282,-1.4,3,0.8,0,1,66
Tree,200,1,0.01282,-1.4,3,0.8,0,1,3
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,84
Tree,200,1,0.01282,-1.4,-1,0.8,0,1,0
Tree,200,1,0.01282,-1.4,2,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,5
Tree,200,1,0.01282,-1.4,1,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,62
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,8
Tree,200,1,0.01282,-1.4,2,0.8,0,1,4
Tree,200,1,0.01282,-1.4,2,0.8,0,1,7
Tree,200,1,0.01282,-1.4,2,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,6
Tree,200,1,0.01282,-1.4,3,0.8,0,1,25
Tree,200,1,0.01282,-1.4,3,0.8,0,1,8
Tree,200,1,0.01282,-1.4,3,0.8,0,1,26
Tree,200,1,0.01282,-1.4,3,0.8,0,1,51
Tree,200,1,0.01282,-1.4,3,0.8,0,1,15
Tree,200,1,0.01282,-1.4,3,0.8,0,1,3
Tree,200,1,0.01282,-1.4,3,0.8,0,1,27
Tree,200,1,0.01282,-1.4,3,0.8,0,1,5
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,17
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,45
Tree,200,1,0.01282,-1.4,3,0.8,0,1,1
Tree,200,1,0.01282,-1.4,3,0.8,0,1,55
Tree,200,1,0.01282,-1.4,2,0.8,0,1,7
Tree,200,1,0.01282,-1.4,2,0.8,0,1,2
