DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
Tree,200,1,0.01282,1.9,3,0.8,0,1,174
Tree,200,1,0.01282,1.9,3,0.8,0,1,183
Tree,200,1,0.01282,1.9,3,0.8,0,1,122
Tree,200,1,0.01282,1.9,2,0.8,0,1,2
Tree,200,1,0.01282,1.9,2,0.8,0,1,60
Tree,200,1,0.01282,1.9,3,0.8,0,1,1
Tree,200,1,0.01282,1.9,3,0.8,0,1,49
Tree,200,1,0.01282,1.9,2,0.8,0,1,147
Tree,200,1,0.01282,1.9,3,0.8,0,1,102
Tree,200,1,0.01282,1.9,3,0.8,0,1,163
Tree,200,1,0.01282,1.9,3,0.8,0,1,146
Tree,200,1,0.01282,1.9,3,0.8,0,1,136
Tree,200,1,0.01282,1.9,2,0.8,0,1,60
Tree,200,1,0.01282,1.9,3,0.8,0,1,7
Tree,200,1,0.01282,1.9,3,0.8,0,1,28
Tree,200,1,0.01282,1.9,3,0.8,0,1,3
Tree,200,1,0.01282,1.9,3,0.8,0,1,122
Tree,200,1,0.01282,1.9,3,0.8,0,1,10
Tree,200,1,0.01282,1.9,3,0.8,0,1,73
Tree,200,1,0.01282,1.9,3,0.8,0,1,65
Tree,200,1,0.01282,1.9,3,0.8,0,1,111
Tree,200,1,0.01282,1.9,3,0.8,0,1,35
Tree,200,1,0.01282,1.9,2,0.8,0,1,16
Tree,200,1,0.01282,1.9,3,0.8,0,1,113
Tree,200,1,0.01282,1.9,3,0.8,0,1,137
Tree,200,1,0.01282,1.9,3,0.8,0,1,5
Tree,200,1,0.01282,1.9,3,0.8,0,1,152
Tree,200,1,0.01282,1.9,3,0.8,0,1,2
Tree,200,1,0.01282,1.9,3,0.8,0,1,11
Tree,200,1,0.01282,1.9,3,0.8,0,1,2
Tree,200,1,0.01282,1.9,3,0.8,0,1,132
Tree,200,1,0.01282,1.9,3,0.8,0,1,2
