DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,17
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,7
WattsStrogatz,200,1,0.05025,1.0,2,0.8,0,0.75,37
WattsStrogatz,200,1,0.05025,1.0,4,0.8,0,0.75,31
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,11
WattsStrogatz,200,1,0.05025,1.0,2,0.8,0,0.75,21
WattsStrogatz,200,1,0.05025,1.0,2,0.8,0,0.75,25
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,13
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,25
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,9
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,9
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,29
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,14
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,33
WattsStrogatz,200,1,0.05025,1.0,4,0.8,0,0.75,4
WattsStrogatz,200,1,0.05025,1.0,2,0.8,0,0.75,34
WattsStrogatz,200,1,0.05025,1.0,2,0.8,0,0.75,6
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,9
WattsStrogatz,200,1,0.05025,1.0,2,0.8,0,0.75,10
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,10
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,22
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,3
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,17
WattsStrogatz,200,1,0.05025,1.0,2,0.8,0,0.75,17
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,4
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,7
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,21
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,61
WattsStrogatz,200,1,0.05025,1.0,2,0.8,0,0.75,7
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,3
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,12
WattsStrogatz,200,1,0.05025,1.0,1,0.8,0,0.75,1
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,12
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,23
WattsStrogatz,200,1,0.05025,1.0,-1,0.8,0,0.75,0
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,2
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,8
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,23
WattsStrogatz,200,1,0.05025,1.0,-1,0.8,0,0.75,0
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,21
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,18
WattsStrogatz,200,1,0.05025,1.0,4,0.8,0,0.75,16
WattsStrogatz,200,1,0.05025,1.0,3,0.8,0,0.75,29
WattsStrogatz,200,1,0.05025,1.0,4,0.8,0,0.75,39
